,Full name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1,Trae Young,23,76,2652,25.4,.603,.395,.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,,9.0,1.0,10.0,.181,,7.1,-2.0,5.2,4.8
2,Kevin Huerter,23,74,2188,11.9,.570,.541,.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,,1.8,1.0,2.8,.062,,-0.5,-0.7,-1.2,0.4
3,Clint Capela,27,74,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,,5.6,2.7,8.3,.195,,2.1,-0.1,2.0,2.1
4,Bogdan Bogdanović,29,63,1848,15.4,.562,.578,.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,,2.5,1.2,3.7,.095,,1.5,-0.2,1.3,1.5
5,Danilo Gallinari,33,66,1672,14.3,.579,.492,.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,,2.8,0.8,3.6,.105,,1.0,-1.2,-0.2,0.8
6,John Collins,24,54,1663,18.7,.610,.273,.262,6.2,21.5,13.9,8.9,1.0,3.0,7.7,20.5,,3.6,1.4,5.1,.146,,1.5,0.0,1.5,1.5
7,De'Andre Hunter,24,53,1577,10.6,.547,.339,.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,,0.4,0.7,1.1,.034,,-2.4,-1.5,-3.9,-0.8
8,Delon Wright,29,77,1452,13.8,.576,.431,.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,,2.2,1.5,3.6,.121,,-0.2,2.4,2.2,1.6
9,Onyeka Okongwu,21,48,992,19.8,.714,.000,.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14.0,,3.1,1.1,4.2,.202,,0.0,0.8,0.8,0.7
10,Lou Williams,35,56,799,12.1,.500,.319,.244,2.2,9.7,6.0,18.6,1.7,0.3,10.8,21.7,,0.2,0.4,0.6,.034,,-2.0,-1.4,-3.4,-0.3
11,Cam Reddish,22,34,797,12.8,.537,.446,.233,2.8,8.7,5.8,6.9,2.2,1.2,10.4,23.2,,0.1,0.5,0.6,.034,,-0.8,-0.7,-1.5,0.1
12,Timothé Luwawu-Cabarrot,26,52,685,9.3,.556,.656,.220,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,,0.6,0.3,0.9,.061,,-2.3,-1.0,-3.3,-0.2
13,Gorgui Dieng,32,44,371,17.3,.624,.607,.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,,0.8,0.4,1.2,.155,,1.4,0.8,2.1,0.4
14,Skylar Mays,24,28,220,11.7,.589,.391,.141,2.5,9.9,6.2,10.8,1.6,0.0,12.8,15.5,,0.2,0.1,0.3,.061,,-1.2,-0.8,-2.0,0.0
15,Solomon Hill,30,13,139,3.3,.200,.650,.000,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,,-0.1,0.1,0.0,-0.006,,-5.2,1.2,-4.0,-0.1
16,Jalen Johnson,20,22,120,11.3,.590,.317,.171,1.8,21.8,11.9,3.7,1.2,1.5,17.0,19.3,,-0.1,0.1,0.0,.013,,-3.9,-1.1,-4.9,-0.1
17,Kevin Knox,22,17,111,10.1,.457,.578,.267,5.9,15.7,10.8,8.8,0.9,0.8,3.8,20.6,,0.0,0.1,0.1,.031,,-4.4,-2.5,-6.9,-0.1
18,Chaundee Brown Jr.,23,3,83,10.3,.525,.600,.240,1.3,17.0,9.2,6.4,1.2,0.0,0.0,14.6,,0.1,0.0,0.1,.080,,-2.4,-1.7,-4.1,0.0
19,Wes Iwundu,27,3,82,7.1,.557,.278,.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,,0.1,0.0,0.1,.046,,-4.1,-2.7,-6.8,-0.1
20,Lance Stephenson,31,6,70,4.5,.396,.231,.154,1.6,21.8,11.7,19.9,0.0,0.0,22.4,11.2,,-0.1,0.0,0.0,-0.023,,-6.8,-0.8,-7.7,-0.1
21,Malcolm Hill,26,3,46,19.0,.871,.625,.500,4.8,9.5,7.1,2.9,4.3,1.9,0.0,9.3,,0.2,0.1,0.2,.252,,0.3,3.5,3.8,0.1
22,Cameron Oliver,25,2,43,21.4,.705,.200,.200,5.1,10.1,7.6,11.1,1.1,2.1,0.0,16.6,,0.2,0.0,0.2,.219,,2.3,-0.5,1.7,0.0
23,Sharife Cooper,20,13,39,-5.4,.250,.429,.000,0.0,14.0,7.0,16.3,0.0,0.0,26.3,21.3,,-0.2,0.0,-0.2,-0.297,,-11.3,-5.0,-16.3,-0.1
24,Cat Barber,27,3,13,-11.2,.000,.000,1.000,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,,-0.1,0.0,-0.1,-0.450,,-15.8,-7.6,-23.5,-0.1
25,Jayson Tatum,23,76,2731,21.8,.578,.416,.300,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,,5.0,4.6,9.6,.169,,4.3,0.6,4.9,4.8
26,Marcus Smart,27,71,2296,13.6,.540,.501,.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,,1.9,3.7,5.6,.116,,-1.2,1.7,0.5,1.5
27,Jaylen Brown,25,66,2220,18.9,.574,.381,.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,.124,,1.9,0.1,2.1,2.2
28,Al Horford,35,69,2005,16.7,.574,.466,.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,,3.7,3.8,7.6,.181,,1.4,2.9,4.3,3.2
29,Grant Williams,23,77,1875,11.2,.635,.597,.220,3.8,11.8,7.9,5.7,1.0,2.8,11.6,12.6,,2.4,2.6,5.1,.130,,-1.4,1.1,-0.4,0.8
30,Robert Williams,24,61,1804,22.1,.745,.003,.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,,6.0,3.9,9.9,.262,,2.4,3.1,5.5,3.4
31,Dennis Schröder,28,49,1433,13.5,.543,.329,.248,2.2,10.0,6.2,22.0,1.4,0.3,13.8,23.1,,1.0,1.8,2.8,.092,,-1.2,0.0,-1.2,0.3
32,Josh Richardson,28,44,1087,12.2,.570,.455,.207,2.7,9.6,6.2,8.7,1.6,1.9,9.4,16.7,,1.0,1.5,2.6,.113,,-1.0,1.2,0.3,0.6
33,Payton Pritchard,24,71,1001,15.0,.578,.657,.056,3.5,10.8,7.2,20.4,1.2,0.5,9.7,18.6,,1.8,1.2,3.1,.148,,1.7,0.1,1.8,1.0
34,Romeo Langford,22,44,728,9.3,.520,.451,.185,4.6,10.7,7.7,3.6,1.4,2.0,7.4,13.0,,0.2,1.0,1.3,.084,,-2.3,1.1,-1.2,0.2
35,Derrick White,27,26,713,12.9,.544,.483,.326,2.0,11.1,6.7,18.2,1.0,2.0,10.8,18.2,,0.9,0.9,1.8,.121,,-1.4,0.5,-0.9,0.2
36,Aaron Nesmith,22,52,574,7.3,.507,.632,.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,,-0.4,0.9,0.4,.038,,-4.9,0.7,-4.3,-0.3
37,Enes Freedom,29,35,411,15.0,.585,.052,.289,16.5,25.4,21.0,2.7,0.6,3.1,15.5,13.9,,0.6,0.7,1.4,.160,,-1.2,-0.2,-1.4,0.1
38,Daniel Theis,29,21,393,17.0,.658,.250,.286,7.6,19.1,13.5,8.0,1.1,3.3,10.6,15.8,,0.9,0.7,1.6,.190,,-1.0,0.9,-0.1,0.2
39,Sam Hauser,24,26,158,14.8,.650,.880,.000,3.5,16.0,9.9,9.1,0.3,1.2,3.8,14.5,,0.4,0.2,0.6,.171,,2.7,-0.3,2.3,0.2
40,Jabari Parker,26,12,112,14.8,.632,.421,.237,5.0,21.7,13.5,7.9,1.8,0.8,16.0,19.6,,0.1,0.2,0.3,.141,,-0.4,1.1,0.7,0.1
41,Juancho Hernangómez,26,18,96,3.8,.307,.667,.333,10.4,17.6,14.1,4.0,2.1,1.9,16.2,17.0,,-0.3,0.2,-0.1,-0.050,,-6.9,-1.4,-8.3,-0.2
42,Luke Kornet,26,12,85,18.8,.582,.190,.143,13.0,18.6,15.9,13.5,1.8,2.1,0.0,11.6,,0.3,0.2,0.4,.239,,0.6,1.4,2.1,0.1
43,Brodric Thomas,25,12,60,10.0,.520,.500,.278,3.7,14.1,9.0,26.0,0.8,1.5,22.9,19.2,,0.0,0.1,0.1,.052,,-3.6,0.8,-2.8,0.0
44,Bruno Fernando,23,20,58,12.6,.586,.071,.357,13.4,14.6,14.0,9.6,0.0,4.7,23.6,16.1,,0.0,0.1,0.1,.102,,-3.2,0.4,-2.8,0.0
45,Malik Fitts,24,8,28,26.1,.750,.600,.000,7.9,18.8,13.5,28.6,0.0,0.0,0.0,15.7,,0.2,0.0,0.2,.348,,8.6,1.2,9.8,0.1
46,Nik Stauskas,28,6,15,6.2,.509,1.000,.333,0.0,0.0,0.0,9.4,0.0,0.0,12.7,23.1,,0.0,0.0,0.0,-0.025,,-2.4,-4.8,-7.3,0.0
47,Kelan Martin,26,3,6,-11.3,.000,.333,.000,18.5,17.6,18.0,0.0,0.0,0.0,0.0,22.0,,-0.1,0.0,0.0,-0.382,,-14.7,-10.5,-25.1,0.0
48,Matt Ryan,24,1,5,3.5,.300,1.000,.000,0.0,0.0,0.0,0.0,9.9,0.0,0.0,44.0,,0.0,0.0,0.0,-0.250,,-9.9,-3.8,-13.7,0.0
49,Juwan Morgan,24,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.024,,-4.0,-2.0,-6.0,0.0
50,C.J. Miles,34,1,2,-7.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.030,,-16.3,0.0,-16.3,0.0
51,Joe Johnson,40,1,2,38.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,0.0,.335,,12.1,2.8,15.0,0.0
52,Justin Jackson,26,1,2,22.7,.532,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,,0.0,0.0,0.0,.251,,1.9,-4.4,-2.5,0.0
53,Patty Mills,33,81,2346,10.4,.563,.715,.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,,1.9,0.9,2.8,.058,,-0.3,-1.4,-1.7,0.2
54,Kevin Durant,33,55,2047,25.6,.634,.269,.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,,6.4,2.0,8.4,.198,,6.4,0.7,7.2,4.8
55,Bruce Brown,25,72,1774,15.0,.575,.186,.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15.0,,2.8,2.0,4.8,.130,,-0.4,1.1,0.7,1.2
56,James Harden,32,44,1627,20.4,.576,.435,.496,2.9,20.2,11.7,39.7,1.7,1.7,19.8,28.3,,2.6,1.8,4.4,.130,,3.7,0.4,4.1,2.5
57,James Johnson,34,62,1191,10.3,.513,.277,.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,,0.6,1.1,1.7,.068,,-2.7,0.6,-2.2,-0.1
58,Cam Thomas,20,67,1176,11.7,.519,.346,.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,,0.0,0.8,0.8,.033,,-2.0,-1.4,-3.4,-0.4
59,Kyrie Irving,29,29,1091,21.4,.592,.388,.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,,2.4,0.9,3.3,.147,,4.2,-1.2,3.0,1.4
60,LaMarcus Aldridge,36,47,1050,19.6,.604,.100,.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,,2.1,1.0,3.1,.141,,1.3,-0.6,0.7,0.7
61,Kessler Edwards,21,48,987,8.3,.516,.509,.071,5.0,13.8,9.5,4.1,1.4,2.2,13.2,13.8,,-0.2,0.9,0.6,.031,,-3.1,-0.8,-3.8,-0.5
62,Nic Claxton,22,47,974,18.6,.672,.000,.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,,2.3,1.2,3.5,.171,,0.3,0.2,0.5,0.6
63,Blake Griffin,32,56,958,13.7,.518,.463,.243,7.0,18.6,13.0,15.0,1.4,1.3,8.2,16.9,,1.2,0.9,2.1,.106,,-0.6,0.1,-0.5,0.3
64,DeAndre' Bembry,27,48,949,12.4,.609,.169,.164,4.5,12.8,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1.1,2.1,.108,,-2.0,1.6,-0.4,0.4
65,Seth Curry,31,19,569,14.6,.645,.588,.100,0.8,8.4,4.7,12.5,1.4,0.5,10.2,18.5,,1.0,0.3,1.3,.112,,1.5,-0.8,0.7,0.4
66,Jevon Carter,26,46,552,6.5,.462,.730,.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,,-0.4,0.4,-0.1,-0.005,,-3.6,-0.9,-4.4,-0.3
67,Andre Drummond,28,24,535,23.8,.610,.005,.421,19.4,30.6,25.1,9.8,2.0,3.8,13.5,21.5,,1.3,0.9,2.2,.199,,1.7,-0.5,1.2,0.4
68,Joe Harris,30,14,423,9.6,.624,.710,.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,,0.3,0.2,0.5,.060,,-0.9,-0.5,-1.4,0.1
69,Goran Dragić,35,16,408,8.6,.460,.419,.197,3.0,10.4,6.8,24.7,1.7,0.7,20.6,16.9,,-0.2,0.3,0.1,.006,,-3.3,-1.1,-4.4,-0.3
70,Day'Ron Sharpe,20,32,391,20.7,.593,.047,.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,,0.8,0.5,1.2,.152,,-0.3,-2.5,-2.8,-0.1
71,David Duke Jr.,22,22,341,10.0,.444,.343,.194,9.8,11.5,10.7,6.6,2.0,1.8,7.1,15.9,,0.0,0.3,0.3,.048,,-3.0,-0.9,-3.9,-0.2
72,Paul Millsap,36,24,270,11.2,.443,.318,.200,12.0,23.6,17.9,11.8,0.9,3.6,10.6,16.5,,0.1,0.3,0.4,.069,,-3.6,0.5,-3.1,-0.1
73,Langston Galloway,30,4,58,1.8,.462,.615,.000,1.9,12.8,7.5,11.0,0.0,0.0,27.8,13.3,,-0.1,0.0,-0.1,-0.072,,-7.7,-2.8,-10.4,-0.1
74,Shaquille Harrison,28,2,23,4.6,.333,.333,.000,4.9,13.8,9.5,16.6,2.1,3.9,25.0,15.0,,-0.1,0.0,0.0,-0.067,,-9.0,0.6,-8.3,0.0
75,James Ennis III,31,2,14,14.7,.357,.286,.000,16.0,22.7,19.4,0.0,3.5,6.4,0.0,21.5,,0.0,0.0,0.0,.034,,-0.5,-0.6,-1.1,0.0
76,Wenyen Gabriel,24,1,1,11.8,,,,0.0,100.0,54.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.167,,-1.9,0.3,-1.6,0.0
77,Miles Bridges,23,80,2837,17.9,.593,.383,.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,,5.0,2.3,7.2,.123,,1.8,-0.3,1.5,2.5
78,Terry Rozier,27,73,2458,17.6,.566,.508,.151,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,,4.3,1.6,5.9,.115,,2.4,-0.7,1.7,2.3
79,LaMelo Ball,20,75,2422,19.7,.554,.451,.194,4.7,17.4,11.0,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,.116,,3.3,0.1,3.4,3.3
80,Kelly Oubre Jr.,26,76,1999,14.9,.560,.593,.203,4.1,12.0,8.0,6.2,1.8,1.5,6.2,23.0,,1.8,1.4,3.3,.079,,0.2,-1.6,-1.4,0.3
81,Cody Martin,26,71,1866,12.7,.579,.376,.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,,2.4,1.5,3.9,.101,,-1.2,0.7,-0.5,0.7
82,Mason Plumlee,31,73,1793,14.7,.603,.006,.534,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,,2.7,2.0,4.7,.127,,-1.5,1.5,0.0,0.9
83,P.J. Washington,23,65,1768,13.6,.588,.566,.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,,1.8,1.6,3.4,.091,,-0.2,0.2,-0.1,0.9
84,Gordon Hayward,31,49,1564,15.1,.570,.357,.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,,1.9,1.0,2.8,.087,,0.1,-0.8,-0.7,0.5
85,Jalen McDaniels,24,55,895,12.7,.595,.425,.283,4.3,16.0,10.1,8.7,1.4,2.3,11.2,15.3,,1.0,0.7,1.7,.093,,-1.9,-0.4,-2.3,-0.1
86,Montrezl Harrell,28,25,524,21.7,.672,.012,.529,10.6,14.2,12.3,13.9,1.0,2.2,9.4,19.0,,1.9,0.3,2.2,.203,,2.6,-0.8,1.8,0.5
87,Ish Smith,33,37,511,9.6,.434,.135,.103,2.2,9.7,5.9,25.9,1.9,1.8,15.7,19.1,,-0.5,0.3,-0.1,-0.011,,-3.7,-0.7,-4.5,-0.3
88,Nick Richards,24,50,367,15.9,.689,.000,.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,,0.6,0.3,1.0,.125,,-2.6,-0.2,-2.8,-0.1
89,James Bouknight,21,31,304,10.1,.459,.348,.220,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,,-0.1,0.1,0.0,.001,,-3.4,-3.7,-7.1,-0.4
90,JT Thor,19,33,262,9.7,.525,.491,.364,4.4,13.1,8.7,9.2,1.5,4.0,13.6,12.0,,0.1,0.2,0.3,.058,,-3.1,0.1,-3.0,-0.1
91,Isaiah Thomas,32,17,219,16.0,.557,.483,.125,1.4,8.8,5.1,17.0,1.5,1.3,7.3,26.5,,0.2,0.1,0.4,.078,,-0.1,-2.6,-2.7,0.0
92,Kai Jones,21,21,63,9.2,.628,.143,.571,5.0,13.7,9.2,8.6,0.8,3.0,25.5,15.9,,0.0,0.0,0.0,.009,,-5.2,-1.4,-6.6,-0.1
93,Vernon Carey Jr.,20,4,17,17.2,.546,.000,.500,18.4,12.6,15.6,0.0,2.8,0.0,12.0,20.8,,0.0,0.0,0.0,.099,,-2.8,-5.2,-8.0,0.0
94,Scottie Lewis,21,2,7,14.6,.568,,,0.0,0.0,0.0,16.2,6.9,0.0,0.0,5.3,,0.0,0.0,0.0,.164,,0.0,5.9,6.0,0.0
95,Arnoldas Kulboka,24,2,5,-10.7,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,,0.0,0.0,0.0,-0.217,,-14.7,-7.1,-21.8,0.0
96,DeMar DeRozan,32,76,2743,23.1,.590,.093,.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,,7.0,1.8,8.8,.154,,3.4,-0.9,2.5,3.1
97,Nikola Vučević,31,73,2418,18.2,.533,.287,.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,,1.4,3.2,4.5,.090,,0.8,0.1,0.9,1.8
98,Zach LaVine,26,67,2328,20.0,.605,.401,.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,,4.5,1.3,5.8,.120,,3.9,-1.5,2.4,2.6
99,Ayo Dosunmu,22,77,2110,11.2,.596,.348,.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,,1.7,1.3,3.0,.069,,-1.9,-0.1,-2.0,0.0
100,Coby White,21,61,1675,12.6,.564,.548,.141,1.1,11.0,6.1,15.0,0.8,0.6,9.3,19.8,,1.6,0.8,2.4,.067,,-0.4,-1.7,-2.1,0.0
101,Javonte Green,28,65,1519,14.0,.637,.311,.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,,2.9,1.5,4.4,.139,,-0.6,0.7,0.1,0.8
102,Lonzo Ball,24,35,1212,14.5,.575,.679,.073,3.3,14.3,8.8,20.0,2.6,2.2,17.2,17.4,,0.8,1.4,2.2,.088,,0.9,1.6,2.5,1.4
103,Alex Caruso,27,41,1147,11.7,.528,.492,.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,,0.7,1.2,2.0,.082,,-2.2,2.3,0.2,0.6
104,Troy Brown Jr.,22,66,1055,10.1,.525,.516,.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,,0.5,0.9,1.4,.065,,-1.7,-0.2,-1.8,0.1
105,Derrick Jones Jr.,24,51,899,13.0,.633,.313,.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,,1.4,0.8,2.2,.119,,-1.5,0.5,-0.9,0.2
106,Tony Bradley,24,55,549,14.9,.600,.000,.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,,0.6,0.7,1.3,.112,,-2.0,0.2,-1.8,0.0
107,Matt Thomas,27,40,459,9.9,.564,.679,.149,0.7,11.5,6.1,5.8,0.9,0.6,5.3,14.5,,0.3,0.2,0.6,.058,,-1.2,-1.4,-2.6,-0.1
108,Patrick Williams,20,17,422,12.7,.637,.284,.402,4.6,13.8,9.2,4.8,1.0,1.8,11.8,14.2,,0.6,0.3,0.9,.099,,-0.9,-0.7,-1.5,0.0
109,Tristan Thompson,30,23,376,15.0,.575,.022,.522,12.3,20.3,16.3,5.1,1.6,1.6,9.6,14.7,,0.6,0.4,1.0,.126,,-0.9,-0.8,-1.7,0.0
110,Alfonzo McKinnie,29,17,206,5.6,.457,.443,.131,7.1,10.9,9.0,3.2,0.5,1.3,9.8,15.3,,-0.2,0.1,-0.1,-0.015,,-5.6,-3.4,-9.0,-0.4
111,Tyler Cook,24,20,200,13.0,.643,.000,.842,9.1,20.7,14.9,2.0,1.0,1.7,11.8,13.0,,0.4,0.2,0.5,.127,,-3.0,-1.1,-4.1,-0.1
112,Malcolm Hill,26,16,166,11.0,.568,.705,.227,6.1,13.5,9.8,5.6,0.9,1.0,5.8,13.6,,0.2,0.1,0.3,.091,,-1.5,-1.6,-3.1,0.0
113,Alize Johnson,25,16,121,10.2,.537,.087,.304,15.0,18.5,16.7,8.6,1.2,0.0,23.5,12.4,,0.1,0.1,0.2,.063,,-3.4,-0.6,-4.0,-0.1
114,Devon Dotson,22,11,85,9.8,.538,.391,.391,1.3,10.5,6.0,23.9,0.6,0.0,15.6,16.6,,0.1,0.0,0.1,.048,,-3.4,-1.5,-4.9,-0.1
115,Marko Simonovic,22,9,35,10.2,.428,.333,.733,16.2,16.0,16.1,0.0,1.4,2.5,9.2,27.5,,0.0,0.0,0.0,-0.011,,-6.1,-5.0,-11.1,-0.1
116,Mac McClung,23,1,3,8.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.4,,0.0,0.0,0.0,-0.251,,-6.9,-8.4,-15.3,0.0
117,Jordan Bell,27,1,2,29.9,,,,56.6,0.0,28.1,0.0,24.4,0.0,,0.0,,0.0,0.0,0.0,.600,,-8.1,10.8,2.7,0.0
118,Darius Garland,22,68,2430,19.0,.576,.387,.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,,3.8,2.5,6.3,.125,,3.4,-0.8,2.6,2.8
119,Evan Mobley,20,69,2331,16.1,.549,.111,.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,,1.5,3.7,5.2,.107,,-0.9,1.5,0.6,1.5
