,Full name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
596,Donte DiVincenzo,25,25,1,26.6,3.2,8.7,.362,2.1,5.8,.368,1.0,3.0,.351,.484,1.9,2.2,.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3
597,Justin Holiday,32,25,25,25.6,2.8,8.2,.348,2.0,5.8,.342,0.8,2.3,.362,.471,0.6,0.8,.762,0.4,1.8,2.2,1.5,0.8,0.6,0.8,2.0,8.3
598,Richaun Holmes,28,45,37,23.9,4.4,6.7,.660,0.0,0.1,.400,4.4,6.6,.664,.663,1.6,2.0,.778,2.1,5.0,7.0,1.1,0.4,0.9,1.2,2.8,10.4
599,Trey Lyles,26,24,20,22.8,3.6,7.4,.489,1.0,2.6,.365,2.7,4.8,.557,.553,2.4,2.8,.851,1.2,4.4,5.6,1.3,0.3,0.3,0.8,1.3,10.6
600,Marvin Bagley III,22,30,17,21.9,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
601,Chimezie Metu,24,60,20,21.3,3.4,7.5,.452,1.0,3.1,.306,2.4,4.4,.555,.516,1.2,1.5,.780,0.6,5.0,5.6,1.0,0.9,0.5,1.0,1.6,8.9
602,Jeremy Lamb,29,17,0,18.9,2.8,7.0,.403,0.9,3.1,.302,1.9,3.9,.485,.471,1.3,1.5,.846,0.6,2.9,3.5,1.8,0.5,0.5,0.8,0.9,7.9
603,Maurice Harkless,28,47,24,18.4,1.8,3.9,.459,0.7,2.1,.307,1.1,1.7,.650,.544,0.4,0.6,.714,0.3,2.1,2.4,0.5,0.6,0.5,0.7,1.6,4.6
604,Damian Jones,26,56,15,18.2,3.1,4.8,.658,0.2,0.5,.345,2.9,4.2,.696,.677,1.7,2.3,.718,1.3,3.1,4.4,1.2,0.5,0.8,1.1,2.3,8.1
605,Terence Davis,24,30,11,17.9,3.8,8.9,.423,1.6,5.0,.329,2.1,3.9,.542,.515,1.2,1.5,.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
606,Alex Len,28,39,10,15.9,2.4,4.5,.534,0.2,0.5,.286,2.3,4.0,.568,.551,1.1,1.6,.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0
607,Tristan Thompson,30,30,3,15.2,2.5,5.0,.503,0.0,0.0,1.000,2.5,5.0,.500,.507,1.1,2.0,.533,2.4,3.0,5.4,0.6,0.4,0.4,1.0,1.7,6.2
608,Louis King,22,10,0,10.4,1.5,4.7,.319,0.8,2.7,.296,0.7,2.0,.350,.404,0.7,1.0,.700,0.0,1.2,1.2,0.9,0.2,0.1,0.0,1.4,4.5
609,Josh Jackson,24,12,0,10.3,1.4,4.1,.347,0.3,1.4,.176,1.2,2.7,.438,.378,1.3,1.8,.714,0.3,1.2,1.5,0.4,0.4,0.3,0.8,1.4,4.3
610,Neemias Queta,22,15,0,8.0,1.1,2.5,.447,0.0,0.0,,1.1,2.5,.447,.447,0.7,1.1,.647,0.9,1.1,2.1,0.4,0.1,0.5,0.4,1.2,3.0
611,Jahmi'us Ramsey,20,19,0,7.1,1.3,3.1,.414,0.3,0.9,.278,1.0,2.1,.475,.457,0.4,0.7,.500,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2
612,Emmanuel Mudiay,25,2,0,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
613,Justin Robinson,24,3,0,5.0,0.3,2.7,.125,0.0,1.0,.000,0.3,1.7,.200,.125,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.7,0.7
614,Robert Woodard II,22,12,0,3.5,0.2,1.3,.125,0.1,0.3,.250,0.1,1.0,.083,.156,0.2,0.2,1.000,0.4,0.5,0.9,0.3,0.1,0.1,0.1,0.3,0.6
615,Ade Murkey,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,Dejounte Murray,25,68,68,34.8,8.4,18.3,.462,1.4,4.3,.327,7.0,13.9,.504,.500,2.9,3.6,.794,1.2,7.1,8.3,9.2,2.0,0.3,2.6,2.0,21.1
617,Keldon Johnson,22,75,74,31.9,6.3,13.5,.466,2.1,5.3,.398,4.2,8.2,.510,.545,2.4,3.1,.756,1.1,5.0,6.1,2.1,0.8,0.2,1.2,2.0,17.0
618,Derrick White,27,49,48,30.3,5.0,11.6,.426,1.7,5.3,.314,3.3,6.4,.519,.497,2.8,3.3,.869,0.5,3.0,3.5,5.6,1.0,0.9,1.8,2.4,14.4
619,Jakob Poeltl,26,68,67,29.0,6.0,9.8,.618,0.0,0.0,1.000,6.0,9.7,.618,.619,1.4,2.8,.495,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5
620,Devin Vassell,21,71,32,27.3,4.6,10.8,.427,1.9,5.4,.361,2.7,5.4,.492,.516,1.2,1.4,.838,0.6,3.7,4.3,1.9,1.1,0.6,0.8,2.0,12.3
621,Josh Richardson,28,21,7,24.4,3.9,9.1,.429,1.9,4.3,.444,2.0,4.8,.416,.534,1.7,1.8,.946,0.8,2.1,2.9,2.3,1.0,0.3,1.3,1.6,11.4
622,Doug McDermott,30,51,51,24.0,4.2,9.1,.462,2.1,5.0,.422,2.1,4.1,.512,.578,0.8,1.0,.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3
623,Lonnie Walker IV,23,70,6,23.0,4.4,10.9,.407,1.6,5.0,.314,2.9,5.9,.487,.480,1.7,2.1,.784,0.3,2.3,2.6,2.2,0.6,0.3,1.0,1.4,12.1
624,Joshua Primo,19,50,16,19.3,2.0,5.4,.374,0.8,2.7,.307,1.2,2.7,.444,.452,0.9,1.2,.746,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6,5.8
625,Zach Collins,24,28,4,17.9,2.7,5.5,.490,0.5,1.5,.341,2.2,4.1,.544,.535,1.9,2.3,.800,1.6,3.8,5.5,2.2,0.5,0.8,1.6,2.4,7.8
626,Tyler Johnson,29,3,0,17.7,0.7,3.3,.200,0.7,2.0,.333,0.0,1.3,.000,.300,0.0,0.0,,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
627,Bryn Forbes,28,40,1,16.9,3.2,7.4,.432,1.6,3.8,.417,1.6,3.6,.448,.539,1.1,1.2,.898,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1
628,Tre Jones,22,69,11,16.6,2.4,4.9,.490,0.1,0.7,.196,2.3,4.2,.542,.504,1.0,1.3,.780,0.4,1.8,2.2,3.4,0.6,0.1,0.7,1.1,6.0
629,Keita Bates-Diop,26,59,14,16.2,2.3,4.5,.517,0.3,0.9,.309,2.0,3.5,.572,.549,0.8,1.0,.754,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1.0,5.7
630,Thaddeus Young,33,26,1,14.2,2.8,4.9,.578,0.0,0.2,.000,2.8,4.7,.602,.578,0.4,0.8,.455,1.5,2.0,3.6,2.3,0.9,0.3,1.2,1.5,6.1
631,Drew Eubanks,24,49,9,12.1,1.7,3.2,.528,0.0,0.2,.125,1.7,3.1,.550,.531,1.2,1.6,.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7
632,Jock Landale,26,54,1,10.9,1.9,3.8,.495,0.5,1.6,.326,1.3,2.1,.626,.566,0.6,0.8,.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1.0,4.9
633,Romeo Langford,22,4,0,10.8,1.0,1.8,.571,0.0,0.5,.000,1.0,1.3,.800,.571,0.8,2.0,.375,0.0,1.0,1.0,0.5,0.3,0.0,0.0,0.3,2.8
634,Juancho Hernangómez,26,5,0,10.2,0.4,1.2,.333,0.0,0.6,.000,0.4,0.6,.667,.333,0.6,0.8,.750,0.8,2.2,3.0,0.6,0.2,0.2,0.4,0.0,1.4
635,Tomáš Satoranský,30,1,0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,.750,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
636,Devontae Cacok,25,15,0,8.1,1.4,2.1,.677,0.0,0.0,,1.4,2.1,.677,.677,0.3,0.5,.571,0.5,2.3,2.8,0.4,0.5,0.5,0.2,1.1,3.1
637,Joe Wieskamp,22,29,0,7.1,0.7,1.9,.357,0.5,1.5,.326,0.2,0.4,.462,.482,0.2,0.4,.538,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5,2.1
638,Jaylen Morris,26,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
639,Anthony Lamb,24,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
640,Fred VanVleet,27,65,65,37.9,6.8,16.9,.403,3.7,9.9,.377,3.1,7.0,.440,.513,3.0,3.4,.874,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3
641,Pascal Siakam,27,68,68,37.9,8.8,17.8,.494,1.1,3.2,.344,7.7,14.5,.527,.525,4.2,5.6,.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,3.3,22.8
642,OG Anunoby,24,48,48,36.0,6.4,14.5,.443,2.4,6.6,.363,4.0,7.9,.511,.526,1.9,2.5,.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1
643,Scottie Barnes,20,74,74,35.4,6.2,12.6,.492,0.8,2.6,.301,5.4,10.0,.543,.524,2.1,2.9,.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3
644,Gary Trent Jr.,23,70,69,35.0,6.4,15.5,.414,3.0,7.8,.383,3.4,7.7,.445,.511,2.5,2.9,.853,0.4,2.4,2.7,2.0,1.7,0.3,1.0,2.1,18.3
645,Juwan Morgan,24,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
646,Precious Achiuwa,22,73,28,23.6,3.6,8.3,.439,0.8,2.1,.359,2.9,6.1,.468,.486,1.1,1.8,.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1
647,Chris Boucher,29,80,9,21.1,3.4,7.2,.464,0.9,2.9,.297,2.5,4.4,.575,.523,1.9,2.4,.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4
648,Tremont Waters,24,2,0,21.0,1.5,6.0,.250,1.0,4.5,.222,0.5,1.5,.333,.333,0.0,0.0,,0.0,2.0,2.0,3.5,2.0,0.0,2.0,1.0,4.0
649,Thaddeus Young,33,26,0,18.3,2.6,5.5,.465,0.7,1.7,.395,1.9,3.9,.495,.524,0.5,1.0,.481,1.5,2.9,4.4,1.7,1.2,0.4,0.8,1.7,6.3
650,Goran Dragić,35,5,2,18.0,2.6,6.8,.382,0.8,2.8,.286,1.8,4.0,.450,.441,2.0,2.0,1.000,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0
651,Khem Birch,29,55,28,18.0,1.8,3.6,.485,0.0,0.3,.000,1.8,3.4,.522,.485,1.0,1.3,.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5
652,D.J. Wilson,25,4,1,13.5,2.8,3.8,.733,0.0,0.5,.000,2.8,3.3,.846,.733,2.0,2.5,.800,0.3,3.8,4.0,1.3,1.3,0.3,0.5,1.5,7.5
653,Svi Mykhailiuk,24,56,5,12.8,1.6,4.2,.389,0.7,2.4,.306,0.9,1.8,.500,.476,0.6,0.7,.865,0.4,1.3,1.6,0.8,0.5,0.1,0.6,1.0,4.6
654,Malachi Flynn,23,44,5,12.2,1.6,4.2,.393,0.7,2.0,.333,1.0,2.1,.452,.475,0.3,0.5,.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3
655,Armoni Brooks,23,13,3,11.8,0.8,2.9,.289,0.8,2.8,.278,0.1,0.2,.500,.421,0.2,0.2,1.000,0.6,1.1,1.7,1.0,0.5,0.2,0.3,1.1,2.6
656,Yuta Watanabe,27,38,4,11.7,1.5,3.6,.406,0.7,2.1,.342,0.8,1.6,.492,.504,0.6,1.1,.600,0.5,1.9,2.4,0.6,0.3,0.4,0.5,1.0,4.3
657,Dalano Banton,22,64,1,10.9,1.3,3.2,.411,0.2,0.8,.255,1.1,2.4,.464,.443,0.4,0.7,.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2
658,Daniel Oturu,22,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
659,Justin Champagnie,20,36,0,7.8,0.9,1.9,.463,0.3,0.8,.357,0.6,1.1,.538,.537,0.3,0.3,1.000,1.0,1.0,2.0,0.3,0.2,0.1,0.2,0.9,2.3
660,Isaac Bonga,22,15,0,4.6,0.2,0.9,.231,0.1,0.3,.250,0.1,0.6,.222,.269,0.3,0.5,.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8
661,David Johnson,20,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Sam Dekker,27,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,Donovan Mitchell,25,67,67,33.8,9.2,20.5,.448,3.5,9.8,.355,5.7,10.8,.533,.533,4.0,4.7,.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9
664,Rudy Gobert,29,66,66,32.1,5.5,7.7,.713,0.0,0.1,.000,5.5,7.6,.718,.713,4.6,6.7,.690,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.7,15.6
665,Royce O'Neale,28,77,77,31.2,2.6,5.8,.457,1.5,4.0,.389,1.1,1.8,.609,.591,0.6,0.7,.804,0.8,3.9,4.8,2.5,1.1,0.4,1.0,2.4,7.4
666,Bojan Bogdanović,32,69,69,30.9,6.1,13.4,.455,2.6,6.8,.387,3.5,6.7,.524,.552,3.2,3.8,.858,0.8,3.4,4.3,1.7,0.5,0.0,1.7,1.7,18.1
667,Mike Conley,34,72,72,28.6,4.8,11.0,.435,2.3,5.8,.408,2.4,5.2,.464,.542,1.8,2.3,.796,0.7,2.4,3.0,5.3,1.3,0.3,1.7,2.0,13.7
668,Jordan Clarkson,29,79,1,27.1,5.9,14.1,.419,2.4,7.6,.318,3.5,6.5,.535,.504,1.8,2.2,.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0
669,Joe Ingles,34,45,15,24.9,2.6,6.3,.404,1.7,5.0,.347,0.8,1.3,.617,.540,0.4,0.5,.773,0.3,2.6,2.9,3.5,0.5,0.1,1.0,1.8,7.2
670,Danuel House Jr.,28,25,6,19.6,2.2,4.9,.447,1.4,3.3,.415,0.8,1.6,.512,.585,1.1,1.6,.692,0.6,2.2,2.7,1.0,0.6,0.5,0.6,1.4,6.8
671,Rudy Gay,35,55,1,18.9,2.9,6.9,.414,1.3,3.7,.345,1.6,3.2,.494,.507,1.1,1.4,.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1
672,Hassan Whiteside,32,65,8,17.9,3.3,5.1,.652,0.0,0.0,,3.3,5.1,.652,.652,1.6,2.6,.623,2.6,5.0,7.6,0.4,0.3,1.6,0.8,2.8,8.2
673,Juancho Hernangómez,26,17,9,17.5,2.2,4.3,.507,1.2,2.8,.438,0.9,1.5,.640,.651,0.6,1.2,.476,0.9,2.6,3.5,0.8,0.5,0.4,0.5,1.1,6.2
674,Trent Forrest,23,60,6,12.8,1.3,2.6,.490,0.1,0.5,.185,1.2,2.1,.555,.506,0.6,0.8,.792,0.4,1.3,1.7,1.8,0.5,0.1,0.8,0.7,3.3
675,Eric Paschall,25,58,3,12.7,2.0,4.1,.485,0.7,1.9,.370,1.3,2.2,.583,.570,1.1,1.5,.767,0.5,1.3,1.8,0.6,0.2,0.1,0.5,0.9,5.8
676,Udoka Azubuike,22,17,6,11.5,2.2,2.9,.755,0.0,0.0,,2.2,2.9,.755,.755,0.4,0.6,.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7
677,Nickeil Alexander-Walker,23,15,2,9.9,1.1,3.2,.333,0.7,2.2,.303,0.4,1.0,.400,.438,0.7,0.8,.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5
678,Denzel Valentine,28,2,0,9.0,1.0,2.0,.500,0.5,1.5,.333,0.5,0.5,1.000,.625,0.0,0.0,,0.0,2.0,2.0,0.0,0.5,0.0,1.0,1.5,2.5
679,Greg Monroe,31,3,0,8.7,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.3,.571,2.0,1.0,3.0,1.0,0.0,0.3,0.0,2.0,4.0
680,Jared Butler,21,42,1,8.6,1.5,3.6,.404,0.7,2.1,.318,0.8,1.5,.524,.497,0.3,0.4,.688,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1,3.8
681,Elijah Hughes,23,14,1,8.0,1.1,2.6,.417,0.7,2.0,.357,0.4,0.6,.625,.556,0.2,0.2,1.000,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
682,Norvel Pelle,28,3,0,6.3,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0
683,Malik Fitts,24,7,0,5.0,0.3,1.3,.222,0.3,0.6,.500,0.0,0.7,.000,.333,0.0,0.0,,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9
684,Zylan Cheatham,26,1,0,5.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Xavier Sneed,24,7,0,4.4,0.3,1.1,.250,0.1,0.9,.167,0.1,0.3,.500,.313,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.0,0.0,0.0,0.7
686,Miye Oni,24,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
687,Bradley Beal,28,40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
688,Kyle Kuzma,26,66,66,33.4,6.4,14.2,.452,1.9,5.7,.341,4.5,8.5,.526,.520,2.4,3.3,.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1
689,Kentavious Caldwell-Pope,28,77,77,30.2,4.7,10.8,.435,2.1,5.3,.390,2.6,5.5,.480,.531,1.8,2.0,.890,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2
690,Spencer Dinwiddie,28,44,44,30.2,4.2,11.2,.376,1.6,5.1,.310,2.6,6.0,.432,.447,2.6,3.3,.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
691,Kristaps Porziņģis,26,17,17,28.2,7.2,15.2,.475,1.7,4.6,.367,5.5,10.6,.522,.531,5.9,6.8,.871,2.2,6.6,8.8,2.9,0.7,1.5,1.6,2.9,22.1
692,Brad Wanamaker,32,1,1,27.0,2.0,5.0,.400,0.0,0.0,,2.0,5.0,.400,.400,3.0,3.0,1.000,0.0,4.0,4.0,7.0,2.0,0.0,0.0,3.0,7.0
693,Montrezl Harrell,28,46,3,24.3,5.4,8.3,.645,0.1,0.3,.267,5.3,8.0,.660,.650,3.2,4.5,.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
694,Deni Avdija,21,82,8,24.2,3.0,7.1,.432,1.0,3.2,.317,2.0,3.9,.525,.503,1.3,1.7,.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4
695,Corey Kispert,22,77,36,23.4,3.0,6.7,.455,1.5,4.2,.350,1.6,2.5,.629,.564,0.7,0.8,.871,0.7,2.0,2.7,1.1,0.5,0.3,0.6,1.2,8.2
696,Rui Hachimura,23,42,13,22.5,4.5,9.1,.491,1.3,2.9,.447,3.1,6.1,.512,.563,1.1,1.6,.697,0.6,3.2,3.8,1.1,0.5,0.2,0.8,1.3,11.3
697,Ish Smith,33,28,0,22.0,4.0,8.8,.457,0.5,1.5,.357,3.5,7.3,.478,.488,0.1,0.2,.600,0.5,2.5,3.0,5.2,1.0,0.5,1.5,1.6,8.6
698,Daniel Gafford,23,72,53,20.1,4.0,5.7,.693,0.0,0.0,.000,4.0,5.7,.695,.693,1.5,2.1,.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4
699,Raul Neto,29,70,19,19.6,2.9,6.3,.463,0.5,1.7,.292,2.4,4.6,.526,.502,1.2,1.5,.769,0.2,1.7,1.9,3.1,0.8,0.0,1.1,1.5,7.5
700,Tomáš Satoranský,30,22,10,18.9,1.8,3.8,.476,0.3,1.0,.273,1.5,2.8,.548,.512,1.0,1.1,.840,0.4,2.4,2.8,4.9,0.7,0.2,1.0,1.7,4.9
701,Thomas Bryant,24,27,9,16.3,2.9,5.5,.520,0.4,1.6,.286,2.4,3.9,.613,.561,1.3,1.5,.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4
702,Aaron Holiday,25,41,14,16.2,2.4,5.2,.467,0.6,1.6,.343,1.9,3.6,.524,.521,0.7,0.9,.800,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
703,Dāvis Bertāns,29,34,0,14.7,1.8,5.0,.351,1.4,4.2,.319,0.4,0.8,.519,.485,0.8,0.9,.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
704,Anthony Gill,29,44,0,10.5,1.4,2.5,.569,0.3,0.6,.538,1.1,1.9,.578,.633,1.0,1.2,.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1
705,Greg Monroe,31,2,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
706,Vernon Carey Jr.,20,3,0,9.0,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,1.3,3.3,.400,1.7,0.7,2.3,0.0,0.3,0.3,0.7,1.0,4.0
707,Tremont Waters,24,1,0,8.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
708,Jordan Schakel,23,4,0,7.5,0.3,2.8,.091,0.3,1.5,.167,0.0,1.3,.000,.136,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.3,0.0,0.3,0.0,1.3
709,Craig Sword,28,3,0,6.3,1.0,1.3,.750,0.0,0.3,.000,1.0,1.0,1.000,.750,0.0,0.0,,0.0,0.0,0.0,0.3,1.3,0.0,0.3,2.3,2.0
710,Isaiah Todd,20,12,0,6.2,0.6,2.2,.269,0.3,1.3,.250,0.3,0.8,.300,.346,0.2,0.5,.333,0.3,0.8,1.0,0.3,0.3,0.2,0.3,0.3,1.7
711,Alize Johnson,25,3,0,6.0,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
712,Cassius Winston,23,7,0,5.6,0.6,1.6,.364,0.3,0.9,.333,0.3,0.7,.400,.455,0.6,0.6,1.000,0.0,0.1,0.1,1.0,0.0,0.0,0.4,1.3,2.0
713,Jordan Goodwin,23,2,0,3.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
714,Jaime Echenique,24,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,Joel Ayayi,21,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
