"","X","Player","Age","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X.","OWS","DWS","WS","WS.48","X..1","OBPM","DBPM","BPM","VORP","Tm","fix"
"1",1,"Trae Young",23,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,NA,9,1,10,0.181,NA,7.1,-2,5.2,4.8,"ATL","traeyoung"
"2",2,"Kevin Huerter",23,74,2188,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,NA,1.8,1,2.8,0.062,NA,-0.5,-0.7,-1.2,0.4,"ATL","kevinhuerter"
"3",3,"Clint Capela",27,74,2042,21.4,0.604,0.002,0.28,15,31.9,23.5,6.6,1.3,4.1,6.1,15.5,NA,5.6,2.7,8.3,0.195,NA,2.1,-0.1,2,2.1,"ATL","clintcapela"
"4",4,"Bogdan Bogdanović",29,63,1848,15.4,0.562,0.578,0.145,1.7,13,7.4,15.5,1.8,0.7,7.7,21.6,NA,2.5,1.2,3.7,0.095,NA,1.5,-0.2,1.3,1.5,"ATL","bogdanbogdanovi"
"5",5,"Danilo Gallinari",33,66,1672,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,NA,2.8,0.8,3.6,0.105,NA,1,-1.2,-0.2,0.8,"ATL","danilogallinari"
"6",6,"John Collins",24,54,1663,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1,3,7.7,20.5,NA,3.6,1.4,5.1,0.146,NA,1.5,0,1.5,1.5,"ATL","johncollins"
"7",7,"De'Andre Hunter",24,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,NA,0.4,0.7,1.1,0.034,NA,-2.4,-1.5,-3.9,-0.8,"ATL","deandrehunter"
"8",8,"Delon Wright",29,77,1452,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,NA,2.2,1.5,3.6,0.121,NA,-0.2,2.4,2.2,1.6,"ATL","delonwright"
"9",9,"Onyeka Okongwu",21,48,992,19.8,0.714,0,0.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14,NA,3.1,1.1,4.2,0.202,NA,0,0.8,0.8,0.7,"ATL","onyekaokongwu"
"10",10,"Lou Williams",35,56,799,12.1,0.5,0.319,0.244,2.2,9.7,6,18.6,1.7,0.3,10.8,21.7,NA,0.2,0.4,0.6,0.034,NA,-2,-1.4,-3.4,-0.3,"ATL","louwilliams"
"11",12,"Timothé Luwawu-Cabarrot",26,52,685,9.3,0.556,0.656,0.22,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,NA,0.6,0.3,0.9,0.061,NA,-2.3,-1,-3.3,-0.2,"ATL","timothluwawucabarrot"
"12",13,"Gorgui Dieng",32,44,371,17.3,0.624,0.607,0.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,NA,0.8,0.4,1.2,0.155,NA,1.4,0.8,2.1,0.4,"ATL","gorguidieng"
"13",14,"Skylar Mays",24,28,220,11.7,0.589,0.391,0.141,2.5,9.9,6.2,10.8,1.6,0,12.8,15.5,NA,0.2,0.1,0.3,0.061,NA,-1.2,-0.8,-2,0,"ATL","skylarmays"
"14",15,"Solomon Hill",30,13,139,3.3,0.2,0.65,0,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,NA,-0.1,0.1,0,-0.006,NA,-5.2,1.2,-4,-0.1,"ATL","solomonhill"
"15",16,"Jalen Johnson",20,22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,NA,-0.1,0.1,0,0.013,NA,-3.9,-1.1,-4.9,-0.1,"ATL","jalenjohnson"
"16",19,"Wes Iwundu",27,3,82,7.1,0.557,0.278,0.222,4,13.3,8.7,0,0.6,0,4.8,11.1,NA,0.1,0,0.1,0.046,NA,-4.1,-2.7,-6.8,-0.1,"ATL","wesiwundu"
"17",22,"Cameron Oliver",25,2,43,21.4,0.705,0.2,0.2,5.1,10.1,7.6,11.1,1.1,2.1,0,16.6,NA,0.2,0,0.2,0.219,NA,2.3,-0.5,1.7,0,"ATL","cameronoliver"
"18",23,"Sharife Cooper",20,13,39,-5.4,0.25,0.429,0,0,14,7,16.3,0,0,26.3,21.3,NA,-0.2,0,-0.2,-0.297,NA,-11.3,-5,-16.3,-0.1,"ATL","sharifecooper"
"19",24,"Cat Barber",27,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.7,0,0,14.8,22.7,NA,-0.1,0,-0.1,-0.45,NA,-15.8,-7.6,-23.5,-0.1,"ATL","catbarber"
"20",25,"Jayson Tatum",23,76,2731,21.8,0.578,0.416,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,NA,5,4.6,9.6,0.169,NA,4.3,0.6,4.9,4.8,"BOS","jaysontatum"
"21",26,"Marcus Smart",27,71,2296,13.6,0.54,0.501,0.249,2,10.5,6.4,25.6,2.6,0.7,16.6,18.3,NA,1.9,3.7,5.6,0.116,NA,-1.2,1.7,0.5,1.5,"BOS","marcussmart"
"22",27,"Jaylen Brown",25,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,NA,2.3,3.4,5.8,0.124,NA,1.9,0.1,2.1,2.2,"BOS","jaylenbrown"
"23",28,"Al Horford",35,69,2005,16.7,0.574,0.466,0.167,6,22.2,14.3,16.4,1.2,4.2,9.6,14.8,NA,3.7,3.8,7.6,0.181,NA,1.4,2.9,4.3,3.2,"BOS","alhorford"
"24",29,"Grant Williams",23,77,1875,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1,2.8,11.6,12.6,NA,2.4,2.6,5.1,0.13,NA,-1.4,1.1,-0.4,0.8,"BOS","grantwilliams"
"25",30,"Robert Williams",24,61,1804,22.1,0.745,0.003,0.245,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,NA,6,3.9,9.9,0.262,NA,2.4,3.1,5.5,3.4,"BOS","robertwilliams"
"26",33,"Payton Pritchard",24,71,1001,15,0.578,0.657,0.056,3.5,10.8,7.2,20.4,1.2,0.5,9.7,18.6,NA,1.8,1.2,3.1,0.148,NA,1.7,0.1,1.8,1,"BOS","paytonpritchard"
"27",36,"Aaron Nesmith",22,52,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,NA,-0.4,0.9,0.4,0.038,NA,-4.9,0.7,-4.3,-0.3,"BOS","aaronnesmith"
"28",37,"Enes Freedom",29,35,411,15,0.585,0.052,0.289,16.5,25.4,21,2.7,0.6,3.1,15.5,13.9,NA,0.6,0.7,1.4,0.16,NA,-1.2,-0.2,-1.4,0.1,"BOS","enesfreedom"
"29",39,"Sam Hauser",24,26,158,14.8,0.65,0.88,0,3.5,16,9.9,9.1,0.3,1.2,3.8,14.5,NA,0.4,0.2,0.6,0.171,NA,2.7,-0.3,2.3,0.2,"BOS","samhauser"
"30",40,"Jabari Parker",26,12,112,14.8,0.632,0.421,0.237,5,21.7,13.5,7.9,1.8,0.8,16,19.6,NA,0.1,0.2,0.3,0.141,NA,-0.4,1.1,0.7,0.1,"BOS","jabariparker"
"31",43,"Brodric Thomas",25,12,60,10,0.52,0.5,0.278,3.7,14.1,9,26,0.8,1.5,22.9,19.2,NA,0,0.1,0.1,0.052,NA,-3.6,0.8,-2.8,0,"BOS","brodricthomas"
"32",48,"Matt Ryan",24,1,5,3.5,0.3,1,0,0,0,0,0,9.9,0,0,44,NA,0,0,0,-0.25,NA,-9.9,-3.8,-13.7,0,"BOS","mattryan"
"33",50,"C.J. Miles",34,1,2,-7.8,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0.03,NA,-16.3,0,-16.3,0,"BOS","cjmiles"
"34",51,"Joe Johnson",40,1,2,38.7,1,0,0,0,0,0,0,0,0,0,22,NA,0,0,0,0.335,NA,12.1,2.8,15,0,"BOS","joejohnson"
"35",53,"Patty Mills",33,81,2346,10.4,0.563,0.715,0.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,NA,1.9,0.9,2.8,0.058,NA,-0.3,-1.4,-1.7,0.2,"BRK","pattymills"
"36",54,"Kevin Durant",33,55,2047,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,NA,6.4,2,8.4,0.198,NA,6.4,0.7,7.2,4.8,"BRK","kevindurant"
"37",55,"Bruce Brown",25,72,1774,15,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15,NA,2.8,2,4.8,0.13,NA,-0.4,1.1,0.7,1.2,"BRK","brucebrown"
"38",57,"James Johnson",34,62,1191,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,NA,0.6,1.1,1.7,0.068,NA,-2.7,0.6,-2.2,-0.1,"BRK","jamesjohnson"
"39",58,"Cam Thomas",20,67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,NA,0,0.8,0.8,0.033,NA,-2,-1.4,-3.4,-0.4,"BRK","camthomas"
"40",59,"Kyrie Irving",29,29,1091,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,NA,2.4,0.9,3.3,0.147,NA,4.2,-1.2,3,1.4,"BRK","kyrieirving"
"41",60,"LaMarcus Aldridge",36,47,1050,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4,8,22.4,NA,2.1,1,3.1,0.141,NA,1.3,-0.6,0.7,0.7,"BRK","lamarcusaldridge"
"42",61,"Kessler Edwards",21,48,987,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,NA,-0.2,0.9,0.6,0.031,NA,-3.1,-0.8,-3.8,-0.5,"BRK","kessleredwards"
"43",62,"Nic Claxton",22,47,974,18.6,0.672,0,0.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,NA,2.3,1.2,3.5,0.171,NA,0.3,0.2,0.5,0.6,"BRK","nicclaxton"
"44",63,"Blake Griffin",32,56,958,13.7,0.518,0.463,0.243,7,18.6,13,15,1.4,1.3,8.2,16.9,NA,1.2,0.9,2.1,0.106,NA,-0.6,0.1,-0.5,0.3,"BRK","blakegriffin"
"45",68,"Joe Harris",30,14,423,9.6,0.624,0.71,0.048,1.3,12.8,7.2,4.5,0.8,0.4,11.2,14.5,NA,0.3,0.2,0.5,0.06,NA,-0.9,-0.5,-1.4,0.1,"BRK","joeharris"
"46",70,"Day'Ron Sharpe",20,32,391,20.7,0.593,0.047,0.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,NA,0.8,0.5,1.2,0.152,NA,-0.3,-2.5,-2.8,-0.1,"BRK","dayronsharpe"
"47",71,"David Duke Jr.",22,22,341,10,0.444,0.343,0.194,9.8,11.5,10.7,6.6,2,1.8,7.1,15.9,NA,0,0.3,0.3,0.048,NA,-3,-0.9,-3.9,-0.2,"BRK","daviddukejr"
"48",74,"Shaquille Harrison",28,2,23,4.6,0.333,0.333,0,4.9,13.8,9.5,16.6,2.1,3.9,25,15,NA,-0.1,0,0,-0.067,NA,-9,0.6,-8.3,0,"BRK","shaquilleharrison"
"49",77,"Miles Bridges",23,80,2837,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,NA,5,2.3,7.2,0.123,NA,1.8,-0.3,1.5,2.5,"CHO","milesbridges"
"50",78,"Terry Rozier",27,73,2458,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1,7.2,23.2,NA,4.3,1.6,5.9,0.115,NA,2.4,-0.7,1.7,2.3,"CHO","terryrozier"
"51",79,"LaMelo Ball",20,75,2422,19.7,0.554,0.451,0.194,4.7,17.4,11,35.7,2.4,1.2,15.3,28.2,NA,3.4,2.5,5.8,0.116,NA,3.3,0.1,3.4,3.3,"CHO","lameloball"
"52",80,"Kelly Oubre Jr.",26,76,1999,14.9,0.56,0.593,0.203,4.1,12,8,6.2,1.8,1.5,6.2,23,NA,1.8,1.4,3.3,0.079,NA,0.2,-1.6,-1.4,0.3,"CHO","kellyoubrejr"
"53",81,"Cody Martin",26,71,1866,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,NA,2.4,1.5,3.9,0.101,NA,-1.2,0.7,-0.5,0.7,"CHO","codymartin"
"54",82,"Mason Plumlee",31,73,1793,14.7,0.603,0.006,0.534,10.2,23.3,16.7,16.4,1.6,2.7,20.2,11.7,NA,2.7,2,4.7,0.127,NA,-1.5,1.5,0,0.9,"CHO","masonplumlee"
"55",83,"P.J. Washington",23,65,1768,13.6,0.588,0.566,0.152,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,NA,1.8,1.6,3.4,0.091,NA,-0.2,0.2,-0.1,0.9,"CHO","pjwashington"
"56",84,"Gordon Hayward",31,49,1564,15.1,0.57,0.357,0.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,NA,1.9,1,2.8,0.087,NA,0.1,-0.8,-0.7,0.5,"CHO","gordonhayward"
"57",85,"Jalen McDaniels",24,55,895,12.7,0.595,0.425,0.283,4.3,16,10.1,8.7,1.4,2.3,11.2,15.3,NA,1,0.7,1.7,0.093,NA,-1.9,-0.4,-2.3,-0.1,"CHO","jalenmcdaniels"
"58",88,"Nick Richards",24,50,367,15.9,0.689,0,0.478,9.7,15.2,12.4,4.9,1.2,5.4,18.1,15.4,NA,0.6,0.3,1,0.125,NA,-2.6,-0.2,-2.8,-0.1,"CHO","nickrichards"
"59",89,"James Bouknight",21,31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,NA,-0.1,0.1,0,0.001,NA,-3.4,-3.7,-7.1,-0.4,"CHO","jamesbouknight"
"60",90,"JT Thor",19,33,262,9.7,0.525,0.491,0.364,4.4,13.1,8.7,9.2,1.5,4,13.6,12,NA,0.1,0.2,0.3,0.058,NA,-3.1,0.1,-3,-0.1,"CHO","jtthor"
"61",92,"Kai Jones",21,21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,NA,0,0,0,0.009,NA,-5.2,-1.4,-6.6,-0.1,"CHO","kaijones"
"62",94,"Scottie Lewis",21,2,7,14.6,0.568,NA,NA,0,0,0,16.2,6.9,0,0,5.3,NA,0,0,0,0.164,NA,0,5.9,6,0,"CHO","scottielewis"
"63",95,"Arnoldas Kulboka",24,2,5,-10.7,0,1,0,0,0,0,0,0,0,0,8.5,NA,0,0,0,-0.217,NA,-14.7,-7.1,-21.8,0,"CHO","arnoldaskulboka"
"64",96,"DeMar DeRozan",32,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8,23.3,1.2,0.8,9.2,31.8,NA,7,1.8,8.8,0.154,NA,3.4,-0.9,2.5,3.1,"CHI","demarderozan"
"65",97,"Nikola Vučević",31,73,2418,18.2,0.533,0.287,0.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,NA,1.4,3.2,4.5,0.09,NA,0.8,0.1,0.9,1.8,"CHI","nikolavuevi"
"66",98,"Zach LaVine",26,67,2328,20,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,NA,4.5,1.3,5.8,0.12,NA,3.9,-1.5,2.4,2.6,"CHI","zachlavine"
"67",99,"Ayo Dosunmu",22,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,NA,1.7,1.3,3,0.069,NA,-1.9,-0.1,-2,0,"CHI","ayodosunmu"
"68",100,"Coby White",21,61,1675,12.6,0.564,0.548,0.141,1.1,11,6.1,15,0.8,0.6,9.3,19.8,NA,1.6,0.8,2.4,0.067,NA,-0.4,-1.7,-2.1,0,"CHI","cobywhite"
"69",101,"Javonte Green",28,65,1519,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,NA,2.9,1.5,4.4,0.139,NA,-0.6,0.7,0.1,0.8,"CHI","javontegreen"
"70",102,"Lonzo Ball",24,35,1212,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20,2.6,2.2,17.2,17.4,NA,0.8,1.4,2.2,0.088,NA,0.9,1.6,2.5,1.4,"CHI","lonzoball"
"71",103,"Alex Caruso",27,41,1147,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3,1.1,16.5,13.3,NA,0.7,1.2,2,0.082,NA,-2.2,2.3,0.2,0.6,"CHI","alexcaruso"
"72",104,"Troy Brown Jr.",22,66,1055,10.1,0.525,0.516,0.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,NA,0.5,0.9,1.4,0.065,NA,-1.7,-0.2,-1.8,0.1,"CHI","troybrownjr"
"73",105,"Derrick Jones Jr.",24,51,899,13,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,NA,1.4,0.8,2.2,0.119,NA,-1.5,0.5,-0.9,0.2,"CHI","derrickjonesjr"
"74",106,"Tony Bradley",24,55,549,14.9,0.6,0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20,13.6,NA,0.6,0.7,1.3,0.112,NA,-2,0.2,-1.8,0,"CHI","tonybradley"
"75",107,"Matt Thomas",27,40,459,9.9,0.564,0.679,0.149,0.7,11.5,6.1,5.8,0.9,0.6,5.3,14.5,NA,0.3,0.2,0.6,0.058,NA,-1.2,-1.4,-2.6,-0.1,"CHI","mattthomas"
"76",108,"Patrick Williams",20,17,422,12.7,0.637,0.284,0.402,4.6,13.8,9.2,4.8,1,1.8,11.8,14.2,NA,0.6,0.3,0.9,0.099,NA,-0.9,-0.7,-1.5,0,"CHI","patrickwilliams"
"77",110,"Alfonzo McKinnie",29,17,206,5.6,0.457,0.443,0.131,7.1,10.9,9,3.2,0.5,1.3,9.8,15.3,NA,-0.2,0.1,-0.1,-0.015,NA,-5.6,-3.4,-9,-0.4,"CHI","alfonzomckinnie"
"78",111,"Tyler Cook",24,20,200,13,0.643,0,0.842,9.1,20.7,14.9,2,1,1.7,11.8,13,NA,0.4,0.2,0.5,0.127,NA,-3,-1.1,-4.1,-0.1,"CHI","tylercook"
"79",114,"Devon Dotson",22,11,85,9.8,0.538,0.391,0.391,1.3,10.5,6,23.9,0.6,0,15.6,16.6,NA,0.1,0,0.1,0.048,NA,-3.4,-1.5,-4.9,-0.1,"CHI","devondotson"
"80",115,"Marko Simonovic",22,9,35,10.2,0.428,0.333,0.733,16.2,16,16.1,0,1.4,2.5,9.2,27.5,NA,0,0,0,-0.011,NA,-6.1,-5,-11.1,-0.1,"CHI","markosimonovic"
"81",117,"Jordan Bell",27,1,2,29.9,NA,NA,NA,56.6,0,28.1,0,24.4,0,NA,0,NA,0,0,0,0.6,NA,-8.1,10.8,2.7,0,"CHI","jordanbell"
"82",118,"Darius Garland",22,68,2430,19,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,NA,3.8,2.5,6.3,0.125,NA,3.4,-0.8,2.6,2.8,"CLE","dariusgarland"
"83",119,"Evan Mobley",20,69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,NA,1.5,3.7,5.2,0.107,NA,-0.9,1.5,0.6,1.5,"CLE","evanmobley"
"84",120,"Isaac Okoro",21,67,1981,10.4,0.589,0.364,0.36,4.1,7.1,5.6,8.5,1.4,1,10.4,12.4,NA,2.4,1.9,4.2,0.103,NA,-2.4,0.7,-1.7,0.1,"CLE","isaacokoro"
"85",121,"Lauri Markkanen",24,61,1878,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,NA,2.7,2.3,5,0.127,NA,0.4,-0.1,0.4,1.1,"CLE","laurimarkkanen"
"86",122,"Jarrett Allen",23,56,1809,23,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,NA,5.4,3,8.5,0.225,NA,2.7,1.2,3.9,2.7,"CLE","jarrettallen"
"87",123,"Kevin Love",33,74,1665,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1,10.4,25.1,NA,3.2,2.5,5.7,0.164,NA,4.4,0.1,4.5,2.7,"CLE","kevinlove"
"88",124,"Cedi Osman",26,66,1462,13.3,0.563,0.628,0.229,1.9,9,5.5,14.1,1.8,0.6,9.6,21.1,NA,1.3,1.6,2.9,0.094,NA,-0.3,0.5,0.2,0.8,"CLE","cediosman"
"89",125,"Lamar Stevens",24,63,1015,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,NA,0.4,1.2,1.6,0.078,NA,-3.2,0.3,-2.9,-0.2,"CLE","lamarstevens"
"90",126,"Dean Wade",25,51,980,10.1,0.584,0.654,0.138,3.6,13.1,8.5,7.3,1.5,0.6,6.5,11.1,NA,1.1,1.1,2.3,0.111,NA,-1.9,1.3,-0.6,0.4,"CLE","deanwade"
"91",127,"Ricky Rubio",31,34,970,14,0.488,0.423,0.251,1.7,14.1,8,34.6,2.5,0.6,16.5,24.9,NA,-0.1,1.4,1.3,0.064,NA,-1,1.2,0.2,0.5,"CLE","rickyrubio"
"92",129,"Brandon Goodwin",26,36,502,11.8,0.501,0.357,0.247,3.1,11.4,7.4,26,2.5,0.2,17.4,18.2,NA,0.1,0.7,0.7,0.069,NA,-2.6,1.1,-1.6,0.1,"CLE","brandongoodwin"
"93",130,"Dylan Windler",25,50,459,8.8,0.519,0.714,0.184,5.2,16,10.7,10,1.5,0.6,13.1,11.8,NA,0.2,0.6,0.8,0.084,NA,-2.9,1.2,-1.7,0,"CLE","dylanwindler"
"94",132,"Collin Sexton",23,11,316,11.2,0.523,0.298,0.258,4.6,7.9,6.3,11.9,1.6,0,15.6,27.9,NA,-0.4,0.3,-0.1,-0.009,NA,-3.5,-0.7,-4.1,-0.2,"CLE","collinsexton"
"95",134,"Ed Davis",32,31,201,9.3,0.632,0,0.875,7.9,26.9,17.6,4.5,0.7,4,18.4,6,NA,0.2,0.3,0.5,0.126,NA,-4.2,2.5,-1.8,0,"CLE","eddavis"
"96",136,"Kevin Pangos",29,24,166,6.5,0.408,0.565,0.087,1.4,5.9,3.7,24.6,0.9,0,12.8,14.6,NA,-0.1,0.1,0.1,0.016,NA,-4.7,-1.4,-6.1,-0.2,"CLE","kevinpangos"
"97",137,"RJ Nembhard Jr.",22,14,63,8,0.38,0.111,0.222,5.4,6.9,6.1,26.1,0.8,0,13.2,16,NA,0,0,0,0.01,NA,-4.4,-1.5,-5.9,-0.1,"CLE","rjnembhardjr"
"98",138,"Tacko Fall",26,11,59,11.3,0.398,0,0.583,13.4,29.4,21.6,4.6,0,9.1,16.6,13.6,NA,-0.1,0.1,0.1,0.043,NA,-4.1,0.8,-3.4,0,"CLE","tackofall"
"99",141,"Tre Scott",25,2,11,20.4,0.5,0.167,0,10.3,9.8,10.1,0,4.5,8.1,0,24.1,NA,0,0,0,0.138,NA,-4.8,1.8,-3,0,"CLE","trescott"
"100",142,"Malik Newman",24,1,8,28.6,0.68,0.2,0.4,0,13.5,6.9,27.8,0,0,14.5,38.1,NA,0,0,0,0.179,NA,6.3,0.1,6.4,0,"CLE","maliknewman"
"101",144,"Dorian Finney-Smith",28,80,2644,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,NA,3.4,3.2,6.6,0.121,NA,0.1,0.7,0.8,1.9,"DAL","dorianfinneysmith"
"102",145,"Jalen Brunson",25,79,2524,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,NA,4.9,2.7,7.5,0.143,NA,0.9,0,0.9,1.9,"DAL","jalenbrunson"
