"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Tm","fix"
"379",516,"B.J. Johnson",26,4,0,65,11,25,0.44,4,10,0.4,7,15,0.467,0.52,0,0,NA,6,9,15,0,0,1,0,4,26,"ORL","bjjohnson"
"380",517,"Tyrese Maxey",21,75,74,2650,483,995,0.485,132,309,0.427,351,686,0.512,0.552,213,246,0.866,26,214,240,321,55,32,88,156,1311,"PHI","tyresemaxey"
"381",518,"Tobias Harris",29,73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,"PHI","tobiasharris"
"382",519,"Joel Embiid",27,68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,"PHI","joelembiid"
"383",520,"Georges Niang",28,76,7,1736,246,563,0.437,156,387,0.403,90,176,0.511,0.575,52,59,0.881,25,178,203,102,30,13,59,190,700,"PHI","georgesniang"
"384",521,"Matisse Thybulle",24,66,50,1685,150,300,0.5,45,144,0.313,105,156,0.673,0.575,34,43,0.791,42,109,151,75,115,71,39,158,379,"PHI","matissethybulle"
"385",523,"Furkan Korkmaz",24,67,19,1414,182,470,0.387,77,266,0.289,105,204,0.515,0.469,68,84,0.81,22,153,175,127,33,9,48,58,509,"PHI","furkankorkmaz"
"386",524,"Danny Green",34,62,28,1353,126,320,0.394,103,271,0.38,23,49,0.469,0.555,11,14,0.786,32,125,157,64,60,37,45,105,366,"PHI","dannygreen"
"387",525,"Shake Milton",25,55,6,1179,173,403,0.429,43,133,0.323,130,270,0.481,0.483,61,73,0.836,30,112,142,139,28,17,44,99,450,"PHI","shakemilton"
"388",528,"Isaiah Joe",22,55,1,609,62,177,0.35,45,135,0.333,17,42,0.405,0.477,29,31,0.935,6,50,56,35,14,3,19,47,198,"PHI","isaiahjoe"
"389",529,"Paul Reed",22,38,2,302,54,96,0.563,2,8,0.25,52,88,0.591,0.573,6,14,0.429,44,48,92,16,33,14,10,57,116,"PHI","paulreed"
"390",531,"Charles Bassey",21,23,0,168,30,47,0.638,0,4,0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69,"PHI","charlesbassey"
"391",534,"Myles Powell",24,11,0,52,5,17,0.294,1,6,0.167,4,11,0.364,0.324,2,2,1,1,5,6,3,1,0,3,8,13,"PHI","mylespowell"
"392",536,"Aaron Henry",22,6,0,17,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,NA,0,1,1,0,0,2,2,2,2,"PHI","aaronhenry"
"393",538,"Jaden Springer",19,2,0,6,1,1,1,0,0,NA,1,1,1,1,0,0,NA,1,1,2,0,0,2,1,0,2,"PHI","jadenspringer"
"394",540,"Mikal Bridges",25,82,82,2854,458,858,0.534,115,312,0.369,343,546,0.628,0.601,131,157,0.834,74,273,347,185,96,36,68,150,1162,"PHO","mikalbridges"
"395",541,"Devin Booker",25,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,"PHO","devinbooker"
"396",542,"Chris Paul",36,65,65,2139,363,736,0.493,63,199,0.317,300,537,0.559,0.536,169,202,0.837,22,261,283,702,121,20,153,134,958,"PHO","chrispaul"
"397",543,"Jae Crowder",31,67,67,1886,217,544,0.399,127,365,0.348,90,179,0.503,0.516,71,90,0.789,30,324,354,124,95,30,55,173,632,"PHO","jaecrowder"
"398",544,"Cameron Johnson",25,66,16,1730,279,607,0.46,166,391,0.425,113,216,0.523,0.596,98,114,0.86,42,231,273,99,57,16,47,113,822,"PHO","cameronjohnson"
"399",545,"Deandre Ayton",23,58,58,1713,442,697,0.634,7,19,0.368,435,678,0.642,0.639,106,142,0.746,149,444,593,84,40,40,91,142,997,"PHO","deandreayton"
"400",546,"Landry Shamet",24,69,14,1437,191,485,0.394,123,334,0.368,68,151,0.45,0.521,68,81,0.84,16,110,126,108,28,9,41,92,573,"PHO","landryshamet"
"401",547,"Cameron Payne",27,58,12,1278,240,587,0.409,71,211,0.336,169,376,0.449,0.469,75,89,0.843,24,151,175,282,40,17,103,119,626,"PHO","cameronpayne"
"402",548,"JaVale McGee",34,74,17,1172,288,458,0.629,2,9,0.222,286,449,0.637,0.631,102,146,0.699,163,333,496,42,22,81,98,181,680,"PHO","javalemcgee"
"403",550,"Elfrid Payton",27,50,1,549,67,175,0.383,4,18,0.222,63,157,0.401,0.394,12,32,0.375,21,67,88,99,25,6,47,38,150,"PHO","elfridpayton"
"404",551,"Bismack Biyombo",29,36,3,506,86,145,0.593,0,0,NA,86,145,0.593,0.593,38,71,0.535,63,104,167,23,12,26,25,70,210,"PHO","bismackbiyombo"
"405",553,"Ish Wainright",27,45,0,359,41,104,0.394,19,59,0.322,22,45,0.489,0.486,7,12,0.583,27,27,54,15,20,6,13,49,108,"PHO","ishwainright"
"406",555,"Frank Kaminsky",28,9,0,181,36,66,0.545,5,15,0.333,31,51,0.608,0.583,18,20,0.9,11,30,41,13,8,7,5,14,95,"PHO","frankkaminsky"
"407",556,"Abdel Nader",28,14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34,"PHO","abdelnader"
"408",557,"Gabriel Lundberg",27,4,0,44,5,19,0.263,3,8,0.375,2,11,0.182,0.342,0,0,NA,2,5,7,11,3,0,3,7,13,"PHO","gabriellundberg"
"409",559,"Chandler Hutchison",25,6,0,22,1,2,0.5,0,0,NA,1,2,0.5,0.5,2,2,1,0,5,5,2,0,0,4,1,4,"PHO","chandlerhutchison"
"410",560,"Emanuel Terry",25,3,0,18,0,5,0,0,0,NA,0,5,0,0,0,0,NA,8,7,15,2,1,0,5,4,0,"PHO","emanuelterry"
"411",561,"M.J. Walker",23,2,0,8,0,4,0,0,2,0,0,2,0,0,0,0,NA,0,1,1,1,2,0,0,1,0,"PHO","mjwalker"
"412",562,"Paris Bass",26,2,0,7,2,6,0.333,0,2,0,2,4,0.5,0.333,2,2,1,2,2,4,0,1,0,2,2,6,"PHO","parisbass"
"413",563,"Anfernee Simons",22,57,30,1681,353,797,0.443,179,442,0.405,174,355,0.49,0.555,103,116,0.888,26,125,151,221,30,6,115,110,988,"POR","anferneesimons"
"414",564,"Jusuf Nurkić",27,56,56,1579,321,600,0.535,15,56,0.268,306,544,0.563,0.548,185,268,0.69,167,452,619,157,62,34,143,189,842,"POR","jusufnurki"
"415",567,"Ben McLemore",28,64,6,1285,216,539,0.401,151,417,0.362,65,122,0.533,0.541,72,88,0.818,12,91,103,59,38,10,55,103,655,"POR","benmclemore"
"416",569,"CJ Elleby",21,58,28,1174,121,308,0.393,37,126,0.294,84,182,0.462,0.453,60,84,0.714,66,161,227,87,35,19,56,116,339,"POR","cjelleby"
"417",570,"Nassir Little",21,42,23,1088,145,315,0.46,51,154,0.331,94,161,0.584,0.541,69,94,0.734,58,178,236,54,25,36,40,82,410,"POR","nassirlittle"
"418",571,"Damian Lillard",31,29,29,1056,222,552,0.402,92,284,0.324,130,268,0.485,0.486,159,181,0.878,13,107,120,212,17,11,83,37,695,"POR","damianlillard"
"419",572,"Trendon Watford",21,48,10,869,142,267,0.532,9,38,0.237,133,229,0.581,0.549,71,94,0.755,57,142,199,81,25,28,44,116,364,"POR","trendonwatford"
"420",575,"Greg Brown III",20,48,6,640,81,190,0.426,19,61,0.311,62,129,0.481,0.476,44,65,0.677,38,97,135,35,26,24,36,90,225,"POR","gregbrowniii"
"421",576,"Brandon Williams",22,24,16,640,105,282,0.372,31,106,0.292,74,176,0.42,0.427,68,97,0.701,19,55,74,94,24,10,58,52,309,"POR","brandonwilliams"
"422",577,"Dennis Smith Jr.",24,37,4,638,79,189,0.418,6,27,0.222,73,162,0.451,0.434,42,64,0.656,20,68,88,132,45,12,51,52,206,"POR","dennissmithjr"
"423",581,"Cody Zeller",29,27,0,355,51,90,0.567,0,4,0,51,86,0.593,0.567,38,49,0.776,50,75,125,22,8,6,19,56,140,"POR","codyzeller"
"424",582,"Keljin Blevins",26,31,1,349,34,111,0.306,21,72,0.292,13,39,0.333,0.401,6,11,0.545,16,29,45,19,13,1,17,29,95,"POR","keljinblevins"
"425",583,"Kris Dunn",27,14,3,336,44,102,0.431,1,11,0.091,43,91,0.473,0.436,17,18,0.944,9,40,49,79,23,3,32,38,106,"POR","krisdunn"
"426",588,"Cameron McGriff",24,3,0,46,5,14,0.357,2,6,0.333,3,8,0.375,0.429,2,2,1,6,9,15,3,0,1,0,7,14,"POR","cameronmcgriff"
"427",589,"Jarron Cumberland",24,3,0,12,1,2,0.5,0,1,0,1,1,1,0.5,0,0,NA,1,2,3,1,0,0,0,2,2,"POR","jarroncumberland"
"428",590,"Harrison Barnes",29,77,77,2587,391,834,0.469,142,360,0.394,249,474,0.525,0.554,341,413,0.826,82,350,432,186,53,14,118,94,1265,"SAC","harrisonbarnes"
"429",591,"De'Aaron Fox",24,59,59,2083,516,1092,0.473,74,249,0.297,442,843,0.524,0.506,261,348,0.75,25,206,231,330,68,25,168,172,1367,"SAC","deaaronfox"
"430",592,"Davion Mitchell",23,75,19,2076,352,843,0.418,101,320,0.316,251,523,0.48,0.477,56,85,0.659,33,133,166,313,55,24,114,141,861,"SAC","davionmitchell"
"431",595,"Chimezie Metu",24,60,20,1279,203,449,0.452,57,186,0.306,146,263,0.555,0.516,71,91,0.78,34,301,335,60,51,32,61,93,534,"SAC","chimeziemetu"
"432",596,"Richaun Holmes",28,45,37,1074,198,300,0.66,2,5,0.4,196,295,0.664,0.663,70,90,0.778,93,224,317,48,17,41,56,128,468,"SAC","richaunholmes"
"433",597,"Damian Jones",26,56,15,1017,175,266,0.658,10,29,0.345,165,237,0.696,0.677,94,131,0.718,75,171,246,69,26,47,59,130,454,"SAC","damianjones"
"434",598,"Maurice Harkless",28,47,24,863,83,181,0.459,31,101,0.307,52,80,0.65,0.544,20,28,0.714,12,100,112,23,29,24,31,77,217,"SAC","mauriceharkless"
"435",602,"Alex Len",28,39,10,620,94,176,0.534,6,21,0.286,88,155,0.568,0.551,41,63,0.651,52,109,161,45,13,25,43,100,235,"SAC","alexlen"
"436",604,"Terence Davis",24,30,11,536,113,267,0.423,49,149,0.329,64,118,0.542,0.515,36,44,0.818,11,83,94,40,25,11,33,70,311,"SAC","terencedavis"
"437",608,"Jahmi'us Ramsey",20,19,0,134,24,58,0.414,5,18,0.278,19,40,0.475,0.457,7,14,0.5,4,9,13,7,1,1,5,10,60,"SAC","jahmiusramsey"
"438",610,"Neemias Queta",22,15,0,120,17,38,0.447,0,0,NA,17,38,0.447,0.447,11,17,0.647,14,17,31,6,1,8,6,18,45,"SAC","neemiasqueta"
"439",611,"Louis King",22,10,0,104,15,47,0.319,8,27,0.296,7,20,0.35,0.404,7,10,0.7,0,12,12,9,2,1,0,14,45,"SAC","louisking"
"440",612,"Robert Woodard II",22,12,0,42,2,16,0.125,1,4,0.25,1,12,0.083,0.156,2,2,1,5,6,11,3,1,1,1,3,7,"SAC","robertwoodardii"
"441",614,"Emmanuel Mudiay",25,2,0,11,0,2,0,0,0,NA,0,2,0,0,3,4,0.75,0,0,0,4,1,0,1,1,3,"SAC","emmanuelmudiay"
"442",615,"Ade Murkey",24,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"SAC","ademurkey"
"443",616,"Keldon Johnson",22,75,74,2392,471,1011,0.466,159,399,0.398,312,612,0.51,0.545,177,234,0.756,80,377,457,158,58,14,92,148,1278,"SAS","keldonjohnson"
"444",617,"Dejounte Murray",25,68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438,"SAS","dejountemurray"
"445",618,"Jakob Poeltl",26,68,67,1970,410,663,0.618,1,1,1,409,662,0.618,0.619,94,190,0.495,262,372,634,189,45,118,109,212,915,"SAS","jakobpoeltl"
"446",619,"Devin Vassell",21,71,32,1937,326,764,0.427,137,380,0.361,189,384,0.492,0.516,83,99,0.838,44,262,306,136,76,41,58,143,872,"SAS","devinvassell"
"447",620,"Lonnie Walker IV",23,70,6,1612,311,764,0.407,111,353,0.314,200,411,0.487,0.48,116,148,0.784,18,163,181,152,44,19,71,98,849,"SAS","lonniewalkeriv"
"448",622,"Doug McDermott",30,51,51,1223,215,465,0.462,108,256,0.422,107,209,0.512,0.578,40,51,0.784,18,97,115,64,13,6,43,79,578,"SAS","dougmcdermott"
"449",623,"Tre Jones",22,69,11,1148,166,339,0.49,10,51,0.196,156,288,0.542,0.504,71,91,0.78,29,126,155,233,42,7,46,78,413,"SAS","trejones"
"450",624,"Joshua Primo",19,50,16,965,101,270,0.374,42,137,0.307,59,133,0.444,0.452,44,59,0.746,32,81,113,81,20,23,57,79,288,"SAS","joshuaprimo"
"451",625,"Keita Bates-Diop",26,59,14,956,136,263,0.517,17,55,0.309,119,208,0.572,0.549,46,61,0.754,62,169,231,41,27,14,45,61,335,"SAS","keitabatesdiop"
"452",628,"Jock Landale",26,54,1,589,101,204,0.495,29,89,0.326,72,115,0.626,0.566,34,41,0.829,63,75,138,45,10,14,31,53,265,"SAS","jocklandale"
"453",630,"Zach Collins",24,28,4,502,76,155,0.49,14,41,0.341,62,114,0.544,0.535,52,65,0.8,46,107,153,61,13,23,45,67,218,"SAS","zachcollins"
"454",632,"Joe Wieskamp",22,29,0,205,20,56,0.357,14,43,0.326,6,13,0.462,0.482,7,13,0.538,4,10,14,9,4,3,2,14,61,"SAS","joewieskamp"
"455",633,"Devontae Cacok",25,15,0,121,21,31,0.677,0,0,NA,21,31,0.677,0.677,4,7,0.571,8,34,42,6,8,7,3,16,46,"SAS","devontaecacok"
"456",637,"Jaylen Morris",26,3,0,16,0,6,0,0,2,0,0,4,0,0,2,4,0.5,0,2,2,2,0,0,1,2,2,"SAS","jaylenmorris"
"457",639,"Anthony Lamb",24,2,0,8,0,2,0,0,2,0,0,0,NA,0,0,0,NA,0,1,1,2,0,0,0,0,0,"SAS","anthonylamb"
"458",640,"Scottie Barnes",20,74,74,2617,459,932,0.492,58,193,0.301,401,739,0.543,0.524,158,215,0.735,195,362,557,256,80,55,136,192,1134,"TOR","scottiebarnes"
"459",641,"Pascal Siakam",27,68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551,"TOR","pascalsiakam"
"460",642,"Fred VanVleet",27,65,65,2462,442,1097,0.403,242,642,0.377,200,455,0.44,0.513,194,222,0.874,44,245,289,434,111,35,170,162,1320,"TOR","fredvanvleet"
"461",643,"Gary Trent Jr.",23,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283,"TOR","garytrentjr"
"462",644,"OG Anunoby",24,48,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822,"TOR","oganunoby"
"463",645,"Precious Achiuwa",22,73,28,1725,265,603,0.439,56,156,0.359,209,447,0.468,0.486,78,131,0.595,146,327,473,82,37,41,84,151,664,"TOR","preciousachiuwa"
"464",646,"Chris Boucher",29,80,9,1690,268,577,0.464,68,229,0.297,200,348,0.575,0.523,150,193,0.777,179,315,494,25,49,75,42,174,754,"TOR","chrisboucher"
"465",647,"Khem Birch",29,55,28,991,97,200,0.485,0,14,0,97,186,0.522,0.485,53,71,0.746,122,117,239,56,30,26,29,104,247,"TOR","khembirch"
"466",648,"Svi Mykhailiuk",24,56,5,716,91,234,0.389,41,134,0.306,50,100,0.5,0.476,32,37,0.865,20,72,92,45,26,4,32,54,255,"TOR","svimykhailiuk"
"467",649,"Dalano Banton",22,64,1,696,83,202,0.411,13,51,0.255,70,151,0.464,0.443,26,44,0.591,38,86,124,99,28,10,53,68,205,"TOR","dalanobanton"
"468",650,"Malachi Flynn",23,44,5,537,72,183,0.393,30,90,0.333,42,93,0.452,0.475,15,24,0.625,10,53,63,70,20,4,13,45,189,"TOR","malachiflynn"
"469",652,"Yuta Watanabe",27,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,"TOR","yutawatanabe"
"470",653,"Justin Champagnie",20,36,0,281,31,67,0.463,10,28,0.357,21,39,0.538,0.537,9,9,1,37,35,72,11,8,4,8,32,81,"TOR","justinchampagnie"
"471",656,"Isaac Bonga",22,15,0,69,3,13,0.231,1,4,0.25,2,9,0.222,0.269,5,8,0.625,4,3,7,4,8,2,2,10,12,"TOR","isaacbonga"
"472",657,"D.J. Wilson",25,4,1,54,11,15,0.733,0,2,0,11,13,0.846,0.733,8,10,0.8,1,15,16,5,5,1,2,6,30,"TOR","djwilson"
"473",660,"Daniel Oturu",22,3,0,27,3,6,0.5,0,1,0,3,5,0.6,0.5,3,5,0.6,1,4,5,0,0,2,0,1,9,"TOR","danieloturu"
"474",661,"David Johnson",20,2,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,"TOR","davidjohnson"
"475",662,"Sam Dekker",27,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"TOR","samdekker"
"476",663,"Royce O'Neale",28,77,77,2406,203,444,0.457,119,306,0.389,84,138,0.609,0.591,45,56,0.804,64,304,368,191,86,32,79,183,570,"UTA","royceoneale"
"477",664,"Donovan Mitchell",25,67,67,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733,"UTA","donovanmitchell"
"478",665,"Jordan Clarkson",29,79,1,2141,466,1113,0.419,190,597,0.318,276,516,0.535,0.504,144,174,0.828,67,206,273,194,66,16,129,149,1266,"UTA","jordanclarkson"
"479",666,"Bojan Bogdanović",32,69,69,2131,422,928,0.455,181,468,0.387,241,460,0.524,0.552,223,260,0.858,58,238,296,120,34,1,118,116,1248,"UTA","bojanbogdanovi"
"480",667,"Rudy Gobert",29,66,66,2120,362,508,0.713,0,4,0,362,504,0.718,0.713,303,439,0.69,241,727,968,72,45,137,119,176,1027,"UTA","rudygobert"
"481",668,"Mike Conley",34,72,72,2058,344,791,0.435,169,414,0.408,175,377,0.464,0.542,129,162,0.796,47,170,217,385,96,21,123,142,986,"UTA","mikeconley"
"482",669,"Hassan Whiteside",32,65,8,1162,215,330,0.652,0,0,NA,215,330,0.652,0.652,104,167,0.623,166,328,494,26,22,103,53,179,534,"UTA","hassanwhiteside"
"483",670,"Joe Ingles",34,45,15,1122,115,285,0.404,78,225,0.347,37,60,0.617,0.54,17,22,0.773,12,119,131,158,23,5,46,82,325,"UTA","joeingles"
"484",671,"Rudy Gay",35,55,1,1038,157,379,0.414,70,203,0.345,87,176,0.494,0.507,62,79,0.785,55,187,242,56,25,19,47,95,446,"UTA","rudygay"
"485",672,"Trent Forrest",23,60,6,765,76,155,0.49,5,27,0.185,71,128,0.555,0.506,38,48,0.792,23,76,99,106,30,6,48,43,195,"UTA","trentforrest"
"486",673,"Eric Paschall",25,58,3,736,114,235,0.485,40,108,0.37,74,127,0.583,0.57,66,86,0.767,30,76,106,36,9,5,27,51,334,"UTA","ericpaschall"
"487",675,"Jared Butler",21,42,1,360,61,151,0.404,28,88,0.318,33,63,0.524,0.497,11,16,0.688,5,40,45,63,17,8,33,47,161,"UTA","jaredbutler"
"488",677,"Udoka Azubuike",22,17,6,195,37,49,0.755,0,0,NA,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80,"UTA","udokaazubuike"
"489",680,"Miye Oni",24,16,0,44,2,9,0.222,1,8,0.125,1,1,1,0.278,0,1,0,1,6,7,5,0,0,1,7,5,"UTA","miyeoni"
"490",684,"Norvel Pelle",28,3,0,19,3,5,0.6,0,0,NA,3,5,0.6,0.6,0,0,NA,3,3,6,0,0,1,2,1,6,"UTA","norvelpelle"
"491",686,"Zylan Cheatham",26,1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"UTA","zylancheatham"
"492",687,"Kentavious Caldwell-Pope",28,77,77,2329,361,829,0.435,159,408,0.39,202,421,0.48,0.531,137,154,0.89,41,220,261,145,83,26,97,139,1018,"WAS","kentaviouscaldwellpope"
"493",688,"Kyle Kuzma",26,66,66,2204,423,936,0.452,128,375,0.341,295,561,0.526,0.52,156,219,0.712,70,491,561,233,42,57,169,128,1130,"WAS","kylekuzma"
"494",689,"Deni Avdija",21,82,8,1984,250,579,0.432,82,259,0.317,168,320,0.525,0.503,103,136,0.757,52,373,425,167,59,44,87,190,685,"WAS","deniavdija"
"495",690,"Corey Kispert",22,77,36,1801,234,514,0.455,112,320,0.35,122,194,0.629,0.564,54,62,0.871,53,156,209,85,35,22,50,93,634,"WAS","coreykispert"
"496",691,"Daniel Gafford",23,72,53,1444,285,411,0.693,0,1,0,285,410,0.695,0.693,107,153,0.699,155,252,407,68,30,99,65,170,677,"WAS","danielgafford"
"497",692,"Bradley Beal",28,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,"WAS","bradleybeal"
"498",693,"Raul Neto",29,70,19,1372,204,441,0.463,35,120,0.292,169,321,0.526,0.502,83,108,0.769,13,121,134,217,55,3,79,104,526,"WAS","raulneto"
"499",696,"Rui Hachimura",23,42,13,943,187,381,0.491,55,123,0.447,132,258,0.512,0.563,46,66,0.697,25,135,160,48,23,9,33,53,475,"WAS","ruihachimura"
"500",701,"Anthony Gill",29,44,0,463,62,109,0.569,14,26,0.538,48,83,0.578,0.633,42,52,0.808,33,52,85,27,5,11,18,58,180,"WAS","anthonygill"
"501",702,"Thomas Bryant",24,27,9,439,77,148,0.52,12,42,0.286,65,106,0.613,0.561,35,40,0.875,26,82,108,23,6,21,19,43,201,"WAS","thomasbryant"
"502",704,"Isaiah Todd",20,12,0,74,7,26,0.269,4,16,0.25,3,10,0.3,0.346,2,6,0.333,3,9,12,4,4,2,4,4,20,"WAS","isaiahtodd"
"503",705,"Cassius Winston",23,7,0,39,4,11,0.364,2,6,0.333,2,5,0.4,0.455,4,4,1,0,1,1,7,0,0,3,9,14,"WAS","cassiuswinston"
"504",706,"Jordan Schakel",23,4,0,30,1,11,0.091,1,6,0.167,0,5,0,0.136,2,2,1,2,6,8,0,1,0,1,0,5,"WAS","jordanschakel"
"505",709,"Joel Ayayi",21,7,0,20,1,6,0.167,0,1,0,1,5,0.2,0.167,0,0,NA,1,2,3,4,0,0,0,0,2,"WAS","joelayayi"
"506",710,"Craig Sword",28,3,0,19,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,0,0,1,4,0,1,7,6,"WAS","craigsword"
"507",714,"Jordan Goodwin",23,2,0,6,0,3,0,0,1,0,0,2,0,0,0,0,NA,0,1,1,0,0,0,0,1,0,"WAS","jordangoodwin"
"508",715,"Jaime Echenique",24,1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"WAS","jaimeechenique"
