last name,first name,age,position,team,faStatus,total-contract,average
Davis,Anthony,27.7>,C,LAL,UFA,189903600,37980720
Ingram,Brandon,23.2>,SF,NOP,RFA,158253000,31650600
Hayward,Gordon,30.7>,SF,BOS,UFA,120000000,30000000
VanVleet,Fred,26.7>,PG,TOR,UFA,85000000,21250000
Bertans,Davis,28.0>,SF,WAS,UFA,80000000,16000000
Harris,Joe,29.2>,SG,BKN,UFA,75000000,18750000
Bogdanovic,Bogdan,28.2>,SG,SAC,RFA,72000000,18000000
MorrisSr.,Marcus,31.2>,SF,LAC,UFA,64000000,16000000
Gallinari,Danilo,32.2>,PF,OKC,UFA,61425000,20475000
Grant,Jerami,26.7>,PF,DEN,UFA,60007500,20002500
Beasley,Malik,24.0>,SG,MIN,RFA,60000000,15000000
Clarkson,Jordan,28.4>,PG,UTH,UFA,51520000,12880000
Wood,Christian,25.1>,PF,DET,UFA,41000000,13666667
Caldwell-Pope,Kentavious,27.8>,SG,LAL,UFA,39116585,13038862
Melton,De'Anthony,22.4>,SG,MEM,RFA,34627688,8656922
Crowder,Jae,30.3>,SF,MIA,UFA,29162700,9720900
Favors,Derrick,29.3>,C,NOP,UFA,29162700,9720900
Saric,Dario,26.6>,PF,PHX,RFA,27000000,9000000
Poeltl,Jakob,25.1>,C,SAS,RFA,26250000,8750000
Plumlee,Mason,30.7>,PF,DEN,UFA,24662500,8220833
Hernangomez,Juancho,25.2>,PF,MIN,RFA,21037320,7012440
Augustin,D.J.,33.0>,PG,ORL,UFA,21000000,7000000
Hood,Rodney,28.1>,SF,POR,UFA,20898696,10449348
Thompson,Tristan,29.7>,C,CLE,UFA,18978900,9489450
Ibaka,Serge,31.2>,C,TOR,UFA,18978900,9489450
JonesJr.,Derrick,23.8>,SF,MIA,UFA,18978900,9489450
Harrell,Montrezl,26.8>,PF,LAC,UFA,18978900,9489450
Holiday,Justin,31.6>,SF,IND,UFA,18019260,6006420
Dragic,Goran,34.5>,PG,MIA,UFA,18000000,18000000
Connaughton,Pat,27.8>,SG,MIL,UFA,16000000,5333333
Rondo,Rajon,34.8>,PG,LAL,UFA,15000000,7500000
Green,JaMychal,30.4>,PF,LAC,UFA,14759508,7379754
Baynes,Aron,33.9>,C,PHX,UFA,14350000,7175000
Boucher,Chris,27.8>,PF,TOR,RFA,13520000,6760000
Carter,Jevon,25.2>,PG,PHX,RFA,11500000,3833333
Millsap,Paul,35.8>,PF,DEN,UFA,10000000,10000000
Dunn,Kris,26.7>,PG,CHI,UFA,10000000,5000000
Rivers,Austin,28.2>,PG,HOU,UFA,9975000,3325000
Jackson,Josh,23.8>,SG,MEM,UFA,9772350,4886175
Burke,Trey,28.0>,PG,DAL,UFA,9450000,3150000
Leonard,Meyers,28.7>,C,MIA,UFA,9400000,9400000
Konchar,John,24.7>,SG,MEM,RFA,9000000,2250000
Cauley-Stein,Willie,27.2>,C,DAL,UFA,8200000,4100000
Portis,Bobby,25.8>,PF,NYK,UFA,7427150,3713575
Lopez,Robin,32.6>,C,MIL,UFA,7300000,7300000
Carter-Williams,Michael,29.1>,PG,ORL,UFA,6600000,3300000
Williams,Kenrich,25.9>,SF,NOP,UFA,6000000,2000000
Burks,Alec,29.3>,SG,PHI,UFA,6000000,6000000
Porter,Jontay,21.0>,PF,MEM,RFA,5850000,1950000
Bradley,Avery,29.9>,PG,LAL,UFA,5635000,5635000
Metu,Chimezie,23.7>,PF,SAS,UFA,5294220,1764740
Gray,Joshia,27.2>,G,NOP,RFA,5294220,1764740
Eubanks,Drew,23.8>,PF,SAS,RFA,5294220,1764740
Gasol,Marc,35.8>,C,TOR,UFA,5257744,2628872
Noel,Nerlens,26.6>,C,OKC,UFA,5000000,5000000
Cheatham,Zylan,25.0>,SF,NOP,RFA,4994028,1664676
Forbes,Bryn,27.3>,SG,SAS,UFA,4791147,2395574
Payton,Elfrid,26.8>,PG,NYK,UFA,4767000,4767000
Temple,Garrett,34.5>,SG,BKN,UFA,4767000,4767000
Clark,Gary,26.0>,PF,ORL,RFA,4100000,2050000
Okafor,Jahlil,24.9>,C,NOP,UFA,4012890,2006445
Grant,Jerian,28.1>,PG,WAS,UFA,4012890,2006445
Jones,Damian,25.3>,C,ATL,UFA,3714156,1857078
Bembry,DeAndre',26.3>,SF,ATL,UFA,3714156,1857078
Harkless,Maurice,27.5>,SF,NYK,UFA,3623000,3623000
Matthews,Wesley,34.1>,SG,MIL,UFA,3623000,3623000
Jackson,Frank,22.6>,PG,NOP,UFA,3502857,1751429
Bacon,Dwayne,25.2>,SG,CHA,UFA,3502857,1751429
Biyombo,Bismack,28.2>,C,CHA,UFA,3500000,3500000
Gabriel,Wenyen,23.6>,PF,POR,UFA,3383360,1691680
EnnisIII,James,30.3>,SF,ORL,UFA,3300000,3300000
Martin,Kelan,25.2>,SF,MIN,UFA,3147290,1573645
Brissett,Oshae,22.4>,SF,TOR,RFA,3147290,1573645
Patterson,Patrick,31.7>,PF,LAC,UFA,3077704,3077704
Batum,Nicolas,31.9>,SF,CHA,UFA,2564753,2564753
Ellington,Wayne,33.0>,SG,NYK,UFA,2564753,2564753
Barea,Jose,36.4>,PG,DAL,UFA,2564753,2564753
Dudley,Jared,35.3>,SF,LAL,UFA,2564753,2564753
Teague,Jeff,32.4>,PG,ATL,UFA,2564753,2564753
Haslem,Udonis,40.4>,PF,MIA,UFA,2564753,2564753
Green,Jeff,34.2>,PF,HOU,UFA,2564753,2564753
Howard,Dwight,34.9>,C,LAL,UFA,2564753,2564753
Anthony,Carmelo,36.4>,PF,POR,UFA,2564753,2564753
Jackson,Reggie,30.6>,PG,LAC,UFA,2331593,2331593
Morris,Markieff,31.2>,PF,LAL,UFA,2331593,2331593
Whiteside,Hassan,31.4>,C,POR,UFA,2320044,2320044
Bazemore,Kent,31.3>,SG,SAC,UFA,2320044,2320044
Len,Alex,27.4>,C,SAC,UFA,2258000,2258000
Hill,Solomon,29.7>,SF,MIA,UFA,2174318,2174318
Dellavedova,Matthew,30.2>,PG,CLE,UFA,2174318,2174318
RobinsonIII,Glenn,26.8>,SF,PHI,UFA,2028594,2028594
Galloway,Langston,28.9>,SG,DET,UFA,2028594,2028594
Vonleh,Noah,25.2>,PF,DEN,UFA,2028594,2028594
Johnson,Tyler,28.5>,SG,BKN,UFA,2028594,2028594
Kaminsky,Frank,27.6>,C,PHX,UFA,1882867,1882867
Sampson,JaKarr,27.7>,SF,IND,UFA,1882867,1882867
Neto,Raul,28.5>,PG,PHI,UFA,1882867,1882867
Maker,Thon,23.8>,C,DET,UFA,1737145,1737145
Hernangomez,Willy,26.4>,C,CHA,UFA,1737145,1737145
Thornwell,Sindarius,26.0>,SG,NOP,UFA,1678854,1678854
Craig,Torrey,29.9>,SF,DEN,UFA,1678854,1678854
Giles,Harry,22.6>,C,SAC,UFA,1678854,1678854
WaltonJr.,Derrick,25.6>,PG,DET,UFA,1620564,1620564
Jeffries,DaQuan,23.5>,SG,SAC,RFA,1445697,1445697
